EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
33319.200,31702.530,39808.430,123975.000,39678.020,38584.830,34777.780,37583.470,-0.184,0.898,-0.293,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
113660.100,108148.300,135764.900,420884.900,135373.100,131631.400,118652.200,128241.100,-0.184,0.926,-0.311,0.000,0.000,0.000,66.667,2.000,1.000,18.173,0.000
174691.200,166227.900,208584.700,641633.300,208121.200,202338.300,182408.200,197188.000,-0.188,0.935,-0.315,-0.031,0.000,-0.031,66.667,3.000,1.000,2.269,0.000
187810.100,178723.500,224131.400,682069.800,223768.500,217527.800,196125.100,212050.000,-0.189,0.940,-0.322,-4.547,6.287,-6.805,66.667,4.000,1.000,2.610,0.000
187024.800,177987.300,223086.000,671959.400,222657.800,216483.500,195187.100,211025.000,-0.184,0.945,-0.322,-0.946,0.610,-0.977,66.667,5.000,1.000,3.706,0.000
179234.700,170582.400,213696.400,637374.800,213076.500,207238.200,186839.100,201977.700,-0.177,0.944,-0.327,-0.854,-0.549,-0.183,66.667,6.000,1.000,3.708,0.000
159821.300,152115.700,190445.300,561260.900,189786.500,184619.700,166443.500,179951.200,-0.172,0.947,-0.330,-1.068,-1.251,0.000,66.667,7.000,1.000,13.872,0.000
148515.500,141362.100,176910.100,517368.300,176378.700,171550.800,154670.800,167273.500,-0.165,0.947,-0.329,-1.434,-1.587,0.153,66.667,8.000,1.000,2.977,0.000
153980.900,146565.700,183424.900,536774.900,182996.900,177950.400,160448.800,173543.700,-0.163,0.952,-0.329,-1.831,-1.862,0.336,66.667,9.000,1.000,0.015,0.000
164020.500,156122.200,195397.000,572711.600,194926.100,189556.900,170910.300,184839.700,-0.161,0.950,-0.329,-2.228,-2.045,0.244,66.667,10.000,1.000,1.943,0.000
163274.100,155416.500,194472.900,567929.000,193899.400,188591.800,170035.600,183878.500,-0.154,0.947,-0.338,-2.808,-2.075,0.305,66.667,11.000,1.000,2.447,0.000
148073.200,140953.800,176281.800,509752.400,175710.700,170919.500,154105.300,166668.500,-0.156,0.942,-0.337,-2.899,-2.136,0.458,66.667,12.000,1.000,3.751,0.000
138294.000,131642.000,164584.400,473014.800,164096.200,159608.700,143912.600,155672.500,-0.152,0.938,-0.339,-3.265,-2.167,0.305,66.667,13.000,1.000,14.384,0.000
142396.300,135534.500,169481.800,488491.300,169045.500,164400.900,148237.000,160355.800,-0.153,0.937,-0.334,-3.296,-1.984,0.458,66.667,14.000,1.000,0.016,0.000
150527.000,143263.300,179186.900,518437.300,178725.800,173815.400,156725.800,169522.000,-0.154,0.927,-0.335,-3.479,-2.045,0.549,66.667,15.000,1.000,2.397,0.000
150259.800,143006.800,178850.000,516517.200,178346.900,173461.700,156406.500,169164.300,-0.159,0.920,-0.336,-3.540,-1.831,0.671,66.667,16.000,1.000,0.008,0.000
138635.700,131947.200,164948.700,472495.600,164465.200,159969.000,144247.300,156022.000,-0.168,0.913,-0.333,-3.296,-1.923,0.824,66.667,17.000,1.000,16.426,0.000
131042.500,124723.400,155879.000,444323.100,155439.000,151186.400,136336.700,147478.700,-0.172,0.906,-0.334,-3.418,-2.106,0.610,66.667,18.000,1.000,0.012,0.000
134059.200,127594.200,159492.200,455977.900,159065.200,154705.300,139511.500,150912.800,-0.179,0.904,-0.335,-2.930,-2.167,0.641,66.667,19.000,1.000,1.705,0.000
140192.300,133430.300,166822.000,478816.400,166381.000,161814.900,145919.100,157834.800,-0.182,0.898,-0.338,-2.808,-2.502,0.519,66.667,20.000,1.000,3.259,0.000
140044.700,133293.700,166639.800,477803.100,166198.200,161635.500,145753.900,157653.900,-0.188,0.897,-0.337,-2.502,-2.655,0.610,66.667,21.000,1.000,0.013,0.000
131389.300,125065.400,156295.000,445211.900,155886.300,151607.100,136709.200,147883.900,-0.189,0.898,-0.336,-2.197,-3.235,0.397,66.667,22.000,1.000,1.788,0.000
