EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,146764.800,714160.600,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,196770.600,607122.400,750000.100,688519.400,750000.100,750000.100,0.000
590619.400,750000.100,368634.100,653503.700,750000.100,315834.500,750000.100,750000.100,0.000
508285.700,750000.100,644791.800,744064.600,750000.100,219803.100,750000.100,741010.800,0.000
519579.100,750000.100,564873.100,750000.100,750000.100,328456.800,750000.100,730224.400,0.000
461980.400,488336.700,624052.900,750000.100,750000.100,439884.800,750000.100,750000.100,0.000
431186.900,217787.900,702906.300,750000.100,750000.100,535146.300,750000.100,750000.100,0.000
750000.100,582259.300,750000.100,750000.100,750000.100,494978.300,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,643800.900,750000.100,634427.400,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,521392.200,750000.100,516295.200,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,436193.900,750000.100,434449.600,733608.400,0.000
750000.100,750000.100,750000.100,750000.100,372185.800,750000.100,372883.000,625265.600,0.000
663224.100,653590.400,750000.100,750000.100,321686.800,650801.800,324110.900,539999.100,0.000
573603.600,565587.600,750000.100,750000.100,280479.600,565248.600,284168.800,470225.400,0.000
498980.200,492224.800,750000.100,750000.100,245793.000,493530.000,250475.500,411517.200,0.000
436171.600,430390.600,750000.100,750000.100,216740.900,432903.300,221914.700,361818.000,0.000
383152.600,378189.200,750000.100,750000.100,192024.200,381487.800,197238.600,319413.500,0.000
340545.200,336293.700,750000.100,750000.100,171851.300,340083.900,177090.000,285126.100,0.000
318824.800,314938.000,750000.100,750000.100,162001.300,319207.300,167534.100,268097.800,0.000
309579.400,305941.100,750000.100,750000.100,158337.300,310739.800,164302.000,261320.600,0.000
301628.000,298208.100,750000.100,750000.100,155276.800,303488.300,161664.300,255526.300,0.000
294244.600,290988.300,750000.100,750000.100,152298.600,296646.600,159053.400,250041.000,0.000
287448.700,284318.200,750000.100,750000.100,149541.900,290279.300,156615.100,244957.300,0.000
