EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,146065.900,703383.900,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,235937.000,588366.700,750000.100,640178.800,750000.100,750000.100,0.000
560961.900,750000.100,392347.800,649867.300,750000.100,252217.500,750000.100,750000.100,0.000
488411.700,750000.100,641001.400,741893.900,750000.100,205553.500,750000.100,696106.800,0.000
515403.000,750000.100,568358.400,750000.100,750000.100,340441.400,750000.100,696844.200,0.000
449127.500,449477.100,625509.400,750000.100,750000.100,466746.300,750000.100,750000.100,0.000
441816.000,188601.200,710260.100,750000.100,750000.100,526221.700,750000.100,750000.100,0.000
750000.100,612865.900,750000.100,750000.100,750000.100,490967.200,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,688636.100,750000.100,684425.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,561671.500,750000.100,561233.400,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,471772.700,750000.100,473732.600,719116.600,0.000
744675.300,734969.600,750000.100,750000.100,403146.100,728577.600,406881.300,613886.900,0.000
638596.700,630582.800,750000.100,750000.100,348309.300,627710.400,353274.800,529975.000,0.000
551937.600,545223.600,750000.100,750000.100,303190.600,544779.000,308989.300,460817.000,0.000
479566.900,473876.900,750000.100,750000.100,265371.900,475095.100,271672.200,402564.300,0.000
418777.900,413884.900,750000.100,750000.100,233788.800,416264.700,240190.800,353392.100,0.000
367801.200,363689.800,750000.100,750000.100,206714.800,366830.900,213119.500,311746.600,0.000
332910.100,329310.100,750000.100,750000.100,188214.100,333003.700,194630.100,283214.200,0.000
319303.300,315874.300,750000.100,750000.100,181620.300,320176.000,188353.500,272630.700,0.000
310624.700,307393.600,750000.100,750000.100,177725.900,312207.000,184836.800,266118.600,0.000
302644.600,299617.700,750000.100,750000.100,174242.900,304908.600,181717.600,260104.200,0.000
295258.400,292365.100,750000.100,750000.100,170882.000,298051.000,178673.100,254458.500,0.000
288442.800,285644.800,750000.100,750000.100,167725.100,291643.400,175789.000,249196.900,0.000
282150.800,279455.400,750000.100,750000.100,164883.500,285717.200,173191.300,244340.900,0.000
276294.800,273725.200,750000.100,750000.100,162296.700,280230.200,170834.900,239828.500,0.000
270843.600,268420.200,750000.100,750000.100,159992.400,275162.100,168767.700,235639.100,0.000
265741.500,263404.400,750000.100,750000.100,157716.700,270332.100,166709.700,231637.100,0.000
260994.800,258709.900,750000.100,750000.100,155559.600,265784.300,164739.200,227879.400,0.000
256574.500,254352.400,750000.100,750000.100,153624.700,261556.800,162978.000,224403.700,0.000
252423.800,250282.100,750000.100,750000.100,151859.300,257606.100,161381.900,221142.600,0.000
248536.300,246498.100,750000.100,750000.100,150310.500,253954.400,160018.700,218112.600,0.000
244861.900,242879.600,750000.100,750000.100,148729.800,250435.800,158613.300,215181.900,0.000
241428.600,239480.500,750000.100,750000.100,147223.300,247101.000,157265.200,212420.700,0.000
238208.700,236299.300,750000.100,750000.100,145874.600,243978.800,156062.200,209850.100,0.000
235173.700,233319.800,750000.100,750000.100,144657.300,241058.600,154987.500,207438.200,0.000
232310.700,230532.100,750000.100,750000.100,143602.100,238347.300,154090.900,205187.400,0.000
229586.000,227836.800,750000.100,750000.100,142484.400,235693.500,153119.800,202975.700,0.000
227031.800,225294.500,750000.100,750000.100,141415.800,233166.500,152180.500,200883.300,0.000
224630.800,222913.800,750000.100,750000.100,140482.300,230807.300,151368.800,198944.100,0.000
222355.300,220677.800,750000.100,750000.100,139640.800,228593.500,150651.300,197113.600,0.000
220197.000,218585.300,750000.100,750000.100,138944.300,226548.000,150091.600,195410.800,0.000
218121.700,216541.100,750000.100,750000.100,138170.400,224526.100,149441.900,193715.800,0.000
216187.600,214609.200,750000.100,750000.100,137423.300,222598.900,148805.500,192114.600,0.000
214369.700,212797.800,750000.100,750000.100,136784.100,220793.500,148272.400,190629.100,0.000
212635.200,211097.000,750000.100,750000.100,136221.600,219100.600,147818.100,189229.100,0.000
210980.900,209498.500,750000.100,750000.100,135770.700,217531.100,147488.500,187921.500,0.000
209379.300,207913.300,750000.100,750000.100,135231.000,215961.800,147059.600,186601.300,0.000
207881.300,206412.000,750000.100,750000.100,134700.500,214456.400,146629.400,185346.000,0.000
206467.500,205003.300,750000.100,750000.100,134265.200,213051.700,146289.700,184189.800,0.000
205124.200,203688.600,750000.100,750000.100,133902.200,211740.700,146022.400,183105.900,0.000
203847.300,202462.800,750000.100,750000.100,133649.800,210538.500,145880.300,182107.600,0.000
202601.700,201229.500,750000.100,750000.100,133290.100,209309.700,145622.600,181072.000,0.000
201438.700,200060.600,750000.100,750000.100,132932.400,208128.200,145361.200,180092.000,0.000
200350.200,198972.900,750000.100,750000.100,132661.100,207029.300,145180.900,179196.200,0.000
199297.400,197933.900,750000.100,750000.100,132435.700,205994.000,145047.100,178342.000,0.000
198293.200,196970.900,750000.100,750000.100,132309.500,205053.100,145026.500,177559.400,0.000
197306.800,195998.800,750000.100,750000.100,132087.300,204084.000,144901.100,176742.200,0.000
196390.800,195080.400,750000.100,750000.100,131868.200,203155.200,144769.000,175970.000,0.000
195525.700,194215.500,750000.100,750000.100,131716.300,202286.800,144698.600,175262.200,0.000
194696.800,193401.600,750000.100,750000.100,131602.000,201471.200,144668.800,174591.400,0.000
193915.300,192662.000,750000.100,750000.100,131582.900,200744.100,144750.600,173983.400,0.000
193147.100,191897.900,750000.100,750000.100,131465.300,199976.000,144728.300,173334.800,0.000
192422.500,191158.800,750000.100,750000.100,131328.800,199220.900,144675.600,172707.700,0.000
191746.300,190476.800,750000.100,750000.100,131262.500,198529.900,144688.100,172146.700,0.000
191090.600,189835.300,750000.100,750000.100,131236.600,197889.700,144744.400,171618.000,0.000
190463.800,189247.800,750000.100,750000.100,131303.800,197319.700,144904.000,171142.000,0.000
189845.300,188634.300,750000.100,750000.100,131262.300,196706.000,144950.700,170615.500,0.000
189270.500,188046.900,750000.100,750000.100,131208.800,196109.500,144974.800,170113.600,0.000
188738.100,187509.000,750000.100,750000.100,131222.700,195564.300,145061.100,169671.800,0.000
188224.700,187005.700,750000.100,750000.100,131275.300,195059.900,145188.000,169261.500,0.000
187723.200,186537.100,750000.100,750000.100,131397.800,194612.900,145403.600,168888.500,0.000
187226.800,186043.200,750000.100,750000.100,131420.000,194119.600,145514.000,168469.400,0.000
186770.700,185570.400,750000.100,750000.100,131424.300,193634.300,145594.700,168068.400,0.000
186342.800,185136.900,750000.100,750000.100,131490.000,193193.600,145729.000,167714.400,0.000
185927.500,184732.100,750000.100,750000.100,131587.700,192787.800,145898.100,167384.200,0.000
185537.000,184379.600,750000.100,750000.100,131775.700,192449.700,146169.300,167106.400,0.000
185136.600,183980.300,749609.500,750000.100,131850.400,192051.000,146321.800,166768.300,0.000
184767.600,183596.100,748110.100,748555.900,131904.800,191655.100,146445.700,166443.300,0.000
184426.300,183249.400,746675.500,747120.900,132019.000,191301.100,146625.900,166168.000,0.000
184090.200,182923.900,745303.400,745747.900,132159.500,190978.000,146834.300,165906.500,0.000
183771.700,182638.700,743990.200,744434.000,132372.300,190709.800,147129.700,165680.200,0.000
183447.400,182313.300,742731.600,743174.500,132485.100,190387.800,147320.700,165404.700,0.000
183159.000,182009.700,741528.800,741970.700,132582.200,190071.700,147485.100,165145.700,0.000
182887.300,181736.000,740377.300,740818.300,132730.700,189791.300,147698.800,164924.700,0.000
182620.800,181477.800,739274.400,739714.800,132904.500,189535.200,147942.000,164718.300,0.000
182368.200,181254.100,738218.100,738657.600,133150.400,189329.500,148268.200,164548.100,0.000
182104.100,180989.100,737205.700,737645.000,133291.100,189066.500,148481.800,164321.600,0.000
181866.200,180735.700,736236.000,736675.000,133410.500,188799.800,148664.000,164103.800,0.000
181658.100,180520.700,735308.600,735746.700,133588.800,188576.700,148902.800,163935.600,0.000
181442.700,180315.700,734417.400,734854.800,133782.500,188371.900,149158.500,163770.000,0.000
181240.600,180144.200,733564.200,734001.000,134055.300,188219.000,149505.500,163642.600,0.000
181017.600,179922.700,732745.500,733182.300,134220.100,188003.900,149739.500,163455.000,0.000
180821.800,179713.000,731962.400,732398.500,134363.200,187787.200,149941.800,163277.100,0.000
180648.700,179534.000,731211.800,731647.400,134558.400,187604.000,150191.800,163137.100,0.000
180473.900,179366.800,730489.800,730924.900,134768.800,187436.100,150460.700,163004.700,0.000
180311.200,179237.000,729802.400,730237.600,135059.000,187325.500,150823.700,162914.500,0.000
180122.000,179050.500,729140.800,729575.600,135242.200,187148.400,151070.400,162758.900,0.000
179968.000,178883.500,728507.300,728941.300,135408.000,186971.700,151291.300,162617.300,0.000
179840.400,178746.800,727903.900,728337.500,135628.900,186831.300,151561.400,162516.100,0.000
179695.700,178606.600,727320.500,727753.500,135853.300,186694.800,151841.000,162407.200,0.000
179567.200,178506.000,726760.600,727193.400,136154.700,186615.600,152212.600,162339.200,0.000
179410.100,178348.500,726222.500,726655.700,136346.000,186464.600,152465.100,162206.500,0.000
179284.600,178202.500,725706.000,726138.900,136518.500,186308.800,152690.000,162086.600,0.000
179179.500,178086.000,725212.300,725644.900,136740.700,186186.800,152960.100,162001.300,0.000
179072.600,177985.100,724738.600,725170.800,136984.800,186088.300,153253.000,161924.800,0.000
178966.900,177912.100,724285.100,724716.900,137302.200,186033.200,153634.200,161879.700,0.000
178838.700,177785.300,723847.900,724279.800,137507.200,185910.500,153895.000,161768.600,0.000
178736.100,177669.900,723432.300,723863.600,137694.900,185786.700,154129.200,161668.500,0.000
178650.000,177573.800,723031.300,723461.900,137925.600,185686.300,154402.800,161596.300,0.000
178564.600,177491.500,722645.300,723075.800,138175.400,185603.400,154696.700,161532.000,0.000
178479.400,177436.200,722275.600,722705.900,138493.600,185565.400,155077.700,161501.500,0.000
178375.200,177328.700,721918.300,722348.400,138700.100,185459.100,155339.200,161405.500,0.000
178300.100,177235.500,721577.800,722007.900,138899.400,185355.500,155584.900,161326.000,0.000
178229.700,177151.400,721249.400,721678.900,139135.500,185271.700,155865.000,161270.800,0.000
178159.600,177090.200,720935.600,721365.100,139403.000,185214.300,156178.100,161230.100,0.000
178082.100,177043.500,720631.600,721061.300,139724.600,185187.400,156557.300,161208.200,0.000
177988.400,176945.400,720337.800,720767.300,139932.600,185094.200,156819.600,161123.500,0.000
177919.600,176861.100,720059.400,720488.100,140121.200,184998.700,157054.900,161045.900,0.000
177869.600,176804.400,719791.400,720220.100,140366.200,184938.400,157338.900,161009.300,0.000
177811.900,176751.200,719532.900,719962.100,140627.200,184887.300,157638.500,160975.400,0.000
177749.100,176718.100,719285.800,719714.600,140952.200,184876.700,158010.600,160962.300,0.000
177668.000,176636.300,719044.600,719473.600,141168.300,184796.100,158268.600,160883.900,0.000
177621.700,176571.100,718815.900,719244.500,141376.200,184717.500,158512.000,160825.800,0.000
177584.300,176522.700,718595.300,719023.400,141626.300,184666.800,158794.800,160796.500,0.000
177531.000,176476.100,718383.400,718811.400,141887.500,184623.000,159088.700,160763.700,0.000
177485.400,176461.000,718179.800,718607.600,142219.200,184627.400,159467.500,160761.900,0.000
177416.900,176396.800,717983.300,718411.200,142443.300,184562.400,159733.000,160698.000,0.000
177381.800,176344.800,717796.600,718224.100,142653.200,184497.900,159974.400,160646.200,0.000
177360.500,176314.200,717616.500,718044.300,142906.700,184460.800,160256.500,160624.500,0.000
177320.100,176280.400,717441.700,717869.300,143171.700,184432.200,160556.700,160604.400,0.000
177276.700,176260.000,717269.100,717696.700,143491.300,184432.400,160925.700,160603.500,0.000
177216.400,176196.900,717102.000,717529.600,143702.400,184370.600,161179.100,160542.000,0.000
177177.000,176143.700,716945.900,717373.300,143903.700,184310.600,161413.300,160500.500,0.000
177157.400,176119.500,716798.500,717225.900,144159.200,184280.800,161695.700,160493.400,0.000
177129.900,176099.900,716651.100,717078.500,144429.200,184260.600,161994.200,160484.100,0.000
177097.300,176091.600,716511.700,716938.900,144755.500,184273.100,162365.300,160494.400,0.000
177049.000,176038.000,716375.900,716803.100,144971.200,184221.400,162618.200,160440.400,0.000
177021.300,175993.600,716245.900,716672.900,145175.800,184165.200,162848.900,160398.500,0.000
176999.100,175961.500,716121.700,716548.600,145420.000,184126.900,163115.700,160381.700,0.000
176974.000,175942.700,715999.400,716426.400,145683.800,184105.300,163404.300,160371.800,0.000
176952.500,175948.600,715884.600,716311.800,146019.000,184127.800,163779.100,160392.100,0.000
176907.900,175897.400,715771.600,716198.400,146239.500,184079.400,164032.000,160339.300,0.000
176883.800,175855.600,715663.400,716090.000,146441.800,184027.900,164258.000,160296.100,0.000
