EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
65004.340,65004.340,14059.460,60771.230,-65004.350,-51394.840,65004.340,-65004.350,0.000
256133.600,256133.600,60962.730,228672.200,-209690.500,-102410.900,256133.600,-216572.000,0.000
473328.600,488262.500,138349.200,420567.700,-243713.600,24673.700,488262.500,-307024.600,0.000
602887.200,668836.700,253315.000,577581.400,-97690.960,287281.900,668836.700,-270887.000,0.000
645325.300,783576.600,396469.500,701084.400,37271.980,532835.800,783576.600,-187113.100,0.000
621937.500,802020.300,514694.100,769165.400,53899.220,721478.800,825724.900,-149180.200,0.000
548950.400,684871.600,593060.900,778365.600,-42615.530,831828.200,804636.900,-202284.200,0.000
498090.900,513943.700,654074.100,761847.100,-249204.800,843982.400,761561.300,-264662.200,0.000
541364.300,450346.600,701487.800,754612.900,-495640.200,788369.800,741316.600,-251774.400,0.000
643939.800,513641.600,731651.800,760831.200,-691262.900,738868.100,750834.600,-155488.700,0.000
727885.400,613484.200,750295.400,761489.000,-750950.300,740409.200,761001.600,16135.590,0.000
759689.800,696977.800,761875.500,747066.500,-679460.900,767494.100,749565.100,216791.500,0.000
753251.300,750172.500,762645.900,730978.300,-618871.300,769136.100,718828.600,353443.100,0.000
743024.100,768687.400,752152.600,729561.100,-625194.500,731066.100,676614.700,369233.500,0.000
742355.400,754317.000,739735.100,739512.800,-624971.300,678971.200,623840.500,309015.100,0.000
728399.600,713947.900,735379.800,743466.700,-560161.000,636675.600,552060.400,267019.300,0.000
675581.400,657089.500,738287.800,733771.600,-442777.800,592223.800,459031.200,278701.100,0.000
591621.000,590151.700,739262.100,721310.600,-330210.200,518703.000,366419.700,295192.000,0.000
504683.300,512333.800,733318.500,719250.400,-262830.400,422320.900,302052.800,264300.100,0.000
431883.800,427231.400,725450.000,725650.400,-228132.100,342515.000,268690.400,202819.200,0.000
372531.500,352185.800,722817.900,727774.100,-190094.700,304465.900,244097.500,168980.400,0.000
322425.400,304841.300,725004.400,719954.900,-139745.200,291749.200,211949.500,183230.400,0.000
284288.900,283757.100,725291.500,710098.000,-100951.700,272756.800,180444.400,206209.800,0.000
263037.900,271341.800,720105.800,707740.100,-91969.720,241859.600,166649.000,196693.200,0.000
256694.000,255894.600,713357.000,711516.800,-99476.550,221280.000,171443.000,165158.200,0.000
255404.500,241891.500,710533.100,712384.400,-96619.860,225262.800,177757.600,152886.600,0.000
250033.600,237335.500,711402.400,706311.300,-76321.430,238669.600,171927.300,173001.500,0.000
239930.300,239088.000,710998.100,698721.500,-55714.620,237603.000,158780.200,195700.100,0.000
230602.800,236207.900,706621.600,696146.600,-50202.520,220036.300,151963.700,191492.900,0.000
225452.400,224686.800,701037.800,697733.000,-54258.540,205010.100,155004.200,168823.200,0.000
222189.000,212241.700,698201.600,697523.100,-51794.850,205304.400,158354.700,158047.100,0.000
216919.500,207224.000,698019.100,692852.000,-38019.340,212272.000,153605.800,169666.000,0.000
209219.300,207700.600,697031.800,687117.900,-23378.840,210367.500,144044.700,184069.000,0.000
201929.100,205141.600,693317.500,684396.800,-17938.680,198074.300,138671.500,181157.300,0.000
197192.800,196385.700,688705.200,684234.000,-19221.850,187456.700,139973.400,165835.700,0.000
194238.500,187211.800,685872.100,683148.800,-17713.230,186559.900,141976.900,157644.500,0.000
190903.400,183692.000,684826.800,679577.100,-9622.505,190065.500,139177.300,163746.900,0.000
186184.000,184113.500,683350.600,675318.800,56.495,188512.500,133172.700,172329.800,0.000
180895.200,182091.000,680166.600,672511.900,5449.626,180828.700,129224.200,170898.800,0.000
176449.900,175486.800,676350.400,671002.400,6617.514,173769.700,129110.800,161722.900,0.000
173447.500,168677.700,673540.900,669229.500,7847.135,171847.600,129837.400,155841.200,0.000
171220.500,165977.900,671816.800,666486.800,11954.240,172482.500,128327.500,157766.400,0.000
168485.000,165986.700,669946.100,663361.000,18011.350,171035.700,124954.400,161811.600,0.000
164604.100,164172.300,667172.700,660516.800,23409.890,166822.700,122085.200,161498.500,0.000
160380.200,159210.200,663988.300,658015.300,26530.670,162509.500,120890.200,157137.200,0.000
157312.100,154235.900,661216.500,655723.800,27768.610,159863.900,120599.500,153211.500,0.000
155800.900,152084.800,658979.800,653577.500,29099.400,158342.900,119992.100,152116.900,0.000
154436.700,151645.700,656802.500,651284.900,32499.050,156936.700,118565.700,152756.700,0.000
