EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,453295.200,750000.100,417516.400,569298.100,750000.100,750000.100,0.000
629560.100,750000.100,350492.200,603348.800,-217424.100,245732.500,750000.100,668198.800,0.000
608726.100,750000.100,343513.900,595525.000,-426463.400,240822.100,750000.100,601105.900,0.000
612421.400,750000.100,322591.000,681195.800,-625803.000,343052.900,750000.100,660485.800,0.000
616313.300,621809.400,450878.600,728621.400,-750000.100,459126.400,750000.100,750000.100,0.000
750000.100,545181.500,677054.800,750000.100,-256788.100,584876.600,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,634405.700,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,746071.100,750000.100,750000.100,716224.400,750000.100,750000.100,689702.400,0.000
627174.100,622600.400,750000.100,750000.100,597744.100,641624.000,641073.400,575643.800,0.000
532598.300,528629.600,730188.500,750000.100,507656.800,544682.800,544617.200,488911.200,0.000
457255.800,453718.900,626435.200,644571.700,435850.000,467348.300,467730.100,419725.100,0.000
395286.900,391973.900,541179.200,557088.800,376729.400,403762.900,404499.600,362843.000,0.000
343561.600,340482.100,470065.600,484008.500,327415.300,350703.100,351833.900,315470.100,0.000
300350.200,297696.000,410629.800,422969.100,286344.300,306724.200,307629.800,275804.300,0.000
268727.300,266369.200,367237.200,378437.800,256203.500,274499.300,275281.100,246721.500,0.000
255485.300,253202.400,349068.400,359814.200,243616.900,260902.500,261754.000,234575.900,0.000
248079.000,245851.600,338857.000,349373.100,236557.500,253316.400,254168.900,227756.300,0.000
241303.400,239127.100,329549.300,339829.800,230094.900,246398.800,247247.800,221523.600,0.000
235061.100,232937.500,320988.800,331045.600,224145.000,240040.600,240865.500,215793.500,0.000
229302.000,227235.400,313101.400,322916.200,218660.200,234181.600,234975.900,210516.300,0.000
223989.700,221971.400,305824.500,315408.500,213592.400,228764.600,229525.600,205641.300,0.000
219066.100,217094.000,299082.600,308464.300,208899.400,223745.400,224474.900,201123.600,0.000
214511.100,212585.500,292840.300,302030.300,204558.300,219113.200,219809.000,196954.200,0.000
210258.200,208376.700,287018.800,296024.700,200499.100,214785.900,215448.200,193063.100,0.000
206293.800,204450.900,281592.700,290422.800,196717.800,210746.800,211376.800,189433.400,0.000
202612.900,200806.500,276546.700,285211.700,193211.900,207000.300,207600.300,186063.600,0.000
199166.700,197396.200,271825.300,280335.900,189930.700,203486.200,204064.000,182904.700,0.000
195949.400,194209.800,267411.100,275779.300,186861.300,200208.600,200759.400,179951.500,0.000
192943.700,191227.900,263277.000,271514.500,183985.100,197135.600,197665.100,177190.200,0.000
190117.200,188424.500,259390.800,267506.100,181282.200,194253.200,194758.500,174586.000,0.000
