EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,446965.500,750000.100,412651.000,572299.600,750000.100,750000.100,0.000
626057.200,750000.100,332727.300,594964.100,-198206.700,268140.100,750000.100,657362.800,0.000
607138.600,750000.100,337458.800,587679.900,-449125.500,241993.700,750000.100,598178.200,0.000
610147.700,733667.900,320539.300,674221.700,-614788.200,316968.200,750000.100,654409.600,0.000
616682.600,597229.200,472901.900,726719.900,-750000.100,453162.300,750000.100,750000.100,0.000
750000.100,504459.100,689646.700,750000.100,-328819.300,585963.400,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,632812.200,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
743245.000,743156.300,750000.100,750000.100,716318.800,750000.100,750000.100,684101.600,0.000
620312.200,620163.100,750000.100,750000.100,597841.900,636926.500,633698.000,571002.400,0.000
526628.900,526421.500,720094.300,738373.600,507612.400,540557.600,538249.600,484821.300,0.000
452029.200,451706.900,617632.800,633595.100,435705.700,463730.500,462144.600,416116.500,0.000
390576.500,389998.400,533310.800,547318.000,376378.000,400415.100,399451.300,359456.400,0.000
339320.600,338644.500,463052.000,475332.600,326980.200,347743.500,347355.200,312428.800,0.000
296661.500,296146.900,404527.600,415449.800,285948.200,304102.800,303705.400,273149.200,0.000
266777.900,266314.100,363616.900,373586.500,257143.300,273520.700,273114.600,245590.600,0.000
254724.300,254229.900,347133.600,356769.100,245586.100,261114.400,260814.600,234518.800,0.000
247322.000,246833.100,336970.700,346384.800,238449.400,253503.700,253253.800,227678.800,0.000
240614.500,240119.400,327756.900,336970.500,231970.500,246615.200,246383.300,221475.900,0.000
234385.000,233910.200,319248.400,328263.200,225980.900,240258.600,240036.400,215757.400,0.000
228641.800,228179.500,311400.600,320193.300,220444.600,234386.100,234155.200,210463.500,0.000
223327.500,222876.600,304146.600,312738.400,215323.200,228950.800,228706.700,205570.300,0.000
218428.300,217988.500,297452.700,305868.300,210600.100,223933.100,223682.300,201057.000,0.000
213881.700,213452.600,291232.600,299473.400,206209.000,219292.600,219030.900,196875.900,0.000
209675.700,209256.500,285474.300,293545.900,202145.300,214998.800,214716.900,193002.800,0.000
205736.300,205329.500,280096.300,288013.900,198349.200,210977.300,210655.900,189367.700,0.000
