EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,65004.340,0.000
256133.600,256133.600,229868.900,256133.600,226894.800,240731.900,256133.600,256133.600,0.000
477520.000,488262.500,374871.400,474825.100,320109.400,401213.500,488262.500,480233.400,0.000
624869.100,668836.700,432952.600,615258.800,218854.200,447010.600,668836.700,632070.300,0.000
696687.600,782161.100,439114.200,687658.800,-14993.790,424662.600,783576.600,707929.700,0.000
704472.600,808321.800,417756.000,716829.600,-303126.000,389212.200,825724.900,732071.200,0.000
674019.700,739368.400,415677.500,712450.900,-546263.900,374733.100,804636.900,724325.400,0.000
657806.100,647772.300,478975.700,702565.700,-533467.600,413668.300,761561.300,710113.700,0.000
683279.300,626039.800,596172.700,719355.600,-183878.000,518171.800,741316.600,720765.200,0.000
733714.800,667427.000,713521.600,756482.800,282195.800,652077.900,750834.600,755051.900,0.000
768992.500,715311.000,779383.100,775331.600,640218.900,743114.100,761001.600,774909.700,0.000
763629.300,740999.800,780362.600,756986.000,825260.800,760824.100,749565.100,757977.800,0.000
735792.500,743965.100,751372.300,727660.100,855916.800,744933.800,728439.100,722125.300,0.000
711830.700,728036.900,737817.600,722845.800,794080.500,733915.000,712935.200,688849.100,0.000
683767.500,686069.900,746120.600,740697.800,704994.400,713343.200,688194.800,650819.400,0.000
626827.400,616495.300,738345.800,739578.000,623379.200,651248.300,631189.100,584717.500,0.000
533441.400,527827.600,682477.900,687202.400,542061.300,547668.600,539812.400,485067.100,0.000
426804.200,433966.300,594048.900,601617.600,445950.000,438568.800,437498.200,380675.300,0.000
343736.300,352851.100,510042.100,520858.200,350491.900,361323.600,355808.100,308381.700,0.000
297719.200,295607.700,444928.900,456463.000,287645.200,318733.700,305706.100,273318.200,0.000
270285.500,259375.600,389797.300,397837.600,265009.400,286073.600,272988.500,249406.500,0.000
239701.000,233588.700,338405.600,341861.100,256519.900,247771.200,241389.700,216555.100,0.000
207221.000,211912.900,299432.100,301559.000,235853.800,214279.100,211856.100,183458.600,0.000
189813.700,196734.900,283202.000,287377.200,207327.000,202368.400,196345.800,170138.500,0.000
192809.300,191531.800,284413.400,290160.800,193957.000,209028.400,197426.700,177444.900,0.000
200283.700,192238.000,285128.500,289469.600,202037.700,213571.300,201847.900,184562.700,0.000
194905.200,190120.000,274490.200,276323.500,211777.000,203123.500,196186.400,175657.800,0.000
178523.700,181616.600,258701.100,260147.000,203890.300,186185.800,182180.800,158003.100,0.000
166650.100,171540.700,249522.100,252789.500,183736.200,178192.900,171822.500,149014.800,0.000
166871.500,165976.100,248407.300,252834.100,171720.900,180957.600,170718.200,152597.200,0.000
170565.900,164731.400,246536.500,249746.300,175689.600,182647.300,172146.700,156282.000,0.000
166324.700,162593.700,237833.000,239060.100,182540.900,174952.800,167538.700,149628.100,0.000
154771.700,156520.400,226224.500,227165.700,177449.300,162959.400,157555.200,137164.000,0.000
145884.100,149066.500,219003.900,221319.800,162867.600,156546.800,149768.700,130287.400,0.000
145042.000,144444.600,217179.400,220322.600,153235.000,157331.600,148120.000,131831.300,0.000
147152.700,143156.000,215450.500,217658.900,155227.800,158214.400,148701.500,134018.300,0.000
144734.800,141911.700,209913.000,210686.500,160388.100,153674.600,145929.300,129996.700,0.000
137420.500,138098.600,202380.500,202994.100,157716.400,146029.400,139560.400,122036.900,0.000
130966.100,132740.600,196836.600,198451.000,147669.000,140932.400,133863.900,116879.600,0.000
