EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
182967.200,174089.500,218601.800,680789.400,217885.600,211882.600,190976.700,206383.800,-0.184,0.898,-0.293,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
178307.200,169672.500,212861.100,652332.100,212454.500,206535.300,186203.700,201317.100,-0.184,0.926,-0.311,0.000,0.000,0.000,66.667,2.000,1.000,18.173,0.000
174249.800,165824.600,207898.700,629524.100,207716.400,201885.300,182039.100,196853.900,-0.188,0.935,-0.315,-0.031,0.000,-0.031,66.667,3.000,1.000,2.269,0.000
170648.300,162407.100,203508.200,610215.600,203108.300,197487.200,178064.200,192503.600,-0.189,0.940,-0.322,-4.547,6.287,-6.805,66.667,4.000,1.000,2.610,0.000
167439.500,159358.600,199608.600,593711.700,198860.900,193466.300,174408.800,188505.800,-0.184,0.945,-0.322,-0.946,0.610,-0.977,66.667,5.000,1.000,3.706,0.000
164567.200,156628.500,196129.800,579786.200,195358.800,190058.300,171334.200,185233.300,-0.177,0.944,-0.327,-0.854,-0.549,-0.183,66.667,6.000,1.000,3.708,0.000
161977.000,154170.600,192999.200,567905.200,192517.400,187208.800,168792.800,182571.600,-0.172,0.947,-0.330,-1.068,-1.251,0.000,66.667,7.000,1.000,13.872,0.000
159618.400,151931.400,190152.600,557334.000,189899.400,184608.000,166468.600,180082.000,-0.165,0.947,-0.329,-1.434,-1.587,0.153,66.667,8.000,1.000,2.977,0.000
157448.100,149869.900,187533.000,547496.500,187108.100,181956.600,164060.800,177421.400,-0.163,0.952,-0.329,-1.831,-1.862,0.336,66.667,9.000,1.000,0.015,0.000
155468.500,147991.400,185143.000,538543.800,184416.400,179425.900,161760.400,174892.200,-0.161,0.950,-0.329,-2.228,-2.045,0.244,66.667,10.000,1.000,1.943,0.000
153656.600,146266.200,182957.800,530742.800,182223.700,177289.900,159836.000,172849.500,-0.154,0.947,-0.338,-2.808,-2.075,0.305,66.667,11.000,1.000,2.447,0.000
