EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,26112.970,121369.400,136578.600,136578.600,136578.600,136578.600,-0.012,0.892,-0.378,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
469382.100,469382.100,101358.500,398753.900,430032.800,458039.300,469382.100,469382.100,-0.012,0.906,-0.388,0.000,0.000,0.000,66.667,2.000,1.000,12.686,0.000
696927.400,731059.300,211815.200,600228.000,471321.000,619610.400,731059.300,721683.900,-0.012,0.912,-0.393,0.000,0.000,0.000,66.667,3.000,1.000,2.926,0.000
670924.300,801568.300,368846.400,677451.600,125643.600,470759.800,801568.300,756351.200,-0.012,0.913,-0.395,0.000,0.000,0.000,66.667,4.000,1.000,2.297,0.000
588674.000,813407.500,535984.300,749506.500,-243488.600,309099.300,814894.100,730781.900,-0.012,0.917,-0.397,-2.167,2.960,-2.380,66.667,5.000,1.000,3.624,0.000
516974.200,736987.100,627393.300,779683.800,-518677.500,291906.400,797996.100,721940.400,-0.012,0.916,-0.401,-3.082,4.211,-2.716,66.667,6.000,1.000,24.982,0.000
403141.800,487151.600,669131.300,739253.400,-770134.400,338007.900,731418.800,696661.700,-0.013,0.918,-0.402,-2.594,3.265,-1.648,66.667,7.000,1.000,4.954,0.000
401157.900,309506.600,714745.800,717615.900,-672938.600,433808.400,695083.400,688053.800,-0.013,0.919,-0.403,-2.258,2.991,-1.221,66.667,8.000,1.000,2.617,0.000
593182.800,434716.500,740047.900,741355.700,-36840.200,601528.000,725707.700,731910.500,-0.013,0.921,-0.406,-2.136,2.838,-1.007,66.667,9.000,1.000,2.296,0.000
775047.700,665017.100,741689.700,769176.700,619479.800,771874.400,775234.200,790073.500,-0.014,0.923,-0.404,-2.075,2.716,-0.885,66.667,10.000,1.000,2.553,0.000
809800.600,764926.900,748916.800,764755.400,864339.800,814088.300,781121.700,790643.100,-0.018,0.925,-0.407,-2.289,2.716,-0.732,66.667,11.000,1.000,2.437,0.000
754190.400,765390.600,754850.900,723693.000,842369.900,723673.100,727119.200,721798.600,-0.016,0.927,-0.407,-2.350,2.594,-0.549,66.667,12.000,1.000,2.543,0.000
711230.500,761138.300,748614.000,708226.900,791917.900,673022.900,693304.600,682179.000,-0.018,0.927,-0.406,-2.380,2.594,-0.366,66.667,13.000,1.000,2.486,0.000
712698.600,742120.500,733288.100,728772.300,745842.100,726345.400,700792.200,708250.800,-0.018,0.926,-0.402,-2.411,2.472,-0.244,66.667,14.000,1.000,2.544,0.000
742636.800,714973.400,723540.600,750473.600,698975.600,763575.300,685617.600,725533.300,-0.016,0.924,-0.403,-2.625,2.441,-0.092,66.667,15.000,1.000,2.411,0.000
744708.300,685922.900,731705.400,746342.300,652498.400,680895.800,602334.300,652653.900,-0.017,0.925,-0.401,-2.686,2.350,0.092,66.667,16.000,1.000,3.087,0.000
670795.400,629809.300,739164.200,713985.000,588121.700,513245.500,468750.300,505169.300,-0.017,0.923,-0.405,-2.808,2.106,0.305,66.667,17.000,1.000,0.008,0.000
565321.000,557039.400,734401.900,701357.400,512232.700,394547.700,362752.300,388798.100,-0.016,0.922,-0.402,-2.747,1.953,0.366,66.667,18.000,1.000,1.925,0.000
478578.600,462448.600,721436.500,716223.400,408618.900,366773.600,314419.300,341522.900,-0.017,0.918,-0.401,-2.777,1.801,0.549,66.667,19.000,1.000,4.399,0.000
422132.800,367967.600,712899.900,731966.200,317353.900,356838.100,297683.600,325958.200,-0.017,0.916,-0.402,-2.747,1.678,0.610,66.667,20.000,1.000,0.011,0.000
372560.200,308367.400,718491.800,728419.900,287042.900,310778.800,271492.200,293614.900,-0.016,0.914,-0.401,-2.625,1.526,0.671,66.667,21.000,1.000,8.174,0.000
318658.800,288832.400,723765.000,703928.400,289209.400,235003.600,218491.000,232265.600,-0.017,0.914,-0.404,-2.625,1.373,0.671,66.667,22.000,1.000,3.065,0.000
287146.600,292409.200,719672.000,693836.200,286706.400,196125.800,180524.700,192670.000,-0.016,0.914,-0.398,-2.747,1.190,0.671,66.667,23.000,1.000,0.011,0.000
279697.300,275996.700,709269.800,703763.900,250189.100,215338.700,178775.200,195842.800,-0.013,0.914,-0.398,-2.777,1.068,0.671,66.667,24.000,1.000,5.649,0.000
284184.400,245865.900,702126.700,714351.900,213511.600,240208.700,195856.500,215858.000,-0.013,0.917,-0.402,-2.777,1.007,0.580,66.667,25.000,1.000,8.724,0.000
282002.300,232127.900,705499.600,711275.600,218735.600,233393.400,201596.100,218474.500,-0.011,0.918,-0.402,-2.716,0.885,0.519,66.667,26.000,1.000,3.046,0.000
264442.600,238527.800,708789.900,693465.800,241057.600,196359.100,179454.500,191334.400,-0.011,0.920,-0.399,-2.716,0.671,0.305,66.667,27.000,1.000,0.011,0.000
248993.500,249100.100,705235.500,685554.500,246686.300,173871.500,156945.000,168178.400,-0.011,0.921,-0.400,-2.777,0.580,0.214,66.667,28.000,1.000,1.886,0.000
241820.300,236023.400,697050.800,691363.100,217337.100,185440.500,153780.000,168546.200,-0.011,0.923,-0.400,-2.808,0.580,0.092,66.667,29.000,1.000,11.268,0.000
