EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,139894.400,653319.100,750000.100,750000.100,750000.100,750000.100,-0.142,0.961,-0.154,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
750000.100,750000.100,193972.000,555859.400,465088.200,654802.300,750000.100,750000.100,-0.140,0.972,-0.164,0.000,0.000,0.000,73.333,2.000,1.000,13.104,0.000
530512.100,750000.100,348625.600,629768.600,-121774.600,300584.400,750000.100,646371.700,-0.138,0.969,-0.170,0.000,0.000,0.000,73.333,3.000,1.000,9.947,0.000
469047.900,750000.100,608329.100,693018.600,-254897.400,228748.300,750000.100,600842.000,-0.141,0.976,-0.169,0.000,0.000,0.000,73.333,4.000,1.000,4.990,0.000
490811.500,644137.900,574709.900,750000.100,-391891.900,270123.600,750000.100,667414.600,-0.137,0.977,-0.176,-4.883,5.768,-5.859,73.333,5.000,1.000,2.479,0.000
385321.200,367727.200,555725.800,750000.100,-743903.300,436533.900,750000.100,731910.100,-0.138,0.983,-0.176,-5.402,5.615,-4.486,73.333,6.000,1.000,5.013,0.000
391313.600,186331.600,660429.100,750000.100,-750000.100,524211.100,750000.100,750000.100,-0.142,0.988,-0.176,-3.967,3.479,-2.014,73.333,7.000,1.000,2.517,0.000
750000.100,626963.000,749566.900,750000.100,196325.900,554198.100,750000.100,750000.100,-0.141,0.986,-0.175,-3.754,2.533,-1.312,73.333,8.000,1.000,2.458,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.148,0.989,-0.169,-3.662,2.045,-1.038,73.333,9.000,1.000,2.526,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.147,0.985,-0.170,-3.937,1.678,-1.099,73.333,10.000,1.000,7.501,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.148,0.981,-0.169,-4.059,1.526,-1.160,73.333,11.000,1.000,2.514,0.000
