EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,121720.700,642822.700,750000.100,750000.100,750000.100,750000.100,-0.173,0.902,-0.308,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
750000.100,750000.100,190964.100,542545.100,480489.800,665176.300,750000.100,750000.100,-0.170,0.921,-0.320,0.000,0.000,0.000,73.333,2.000,1.000,13.092,0.000
536043.600,750000.100,354160.800,628476.900,-128807.800,291148.400,750000.100,660548.400,-0.172,0.927,-0.323,0.000,0.000,0.000,73.333,3.000,1.000,11.806,0.000
471902.700,750000.100,615667.800,696148.900,-280370.100,207106.600,750000.100,602927.100,-0.173,0.931,-0.324,0.000,0.000,0.000,73.333,4.000,1.000,0.013,0.000
498575.900,674640.300,572719.900,750000.100,-411013.600,252774.700,750000.100,671535.700,-0.173,0.934,-0.330,-2.899,5.157,-1.617,73.333,5.000,1.000,1.893,0.000
399908.100,376631.900,581182.500,750000.100,-748719.000,420161.100,750000.100,739850.900,-0.172,0.935,-0.332,-3.143,3.967,-0.488,73.333,6.000,1.000,2.563,0.000
411690.000,169770.800,671252.300,750000.100,-750000.100,516118.700,750000.100,750000.100,-0.168,0.935,-0.336,-2.380,1.526,0.183,73.333,7.000,1.000,2.463,0.000
750000.100,607003.300,750000.100,750000.100,225668.200,555495.900,750000.100,750000.100,-0.167,0.938,-0.337,-1.984,0.244,0.427,73.333,8.000,1.000,6.269,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.167,0.939,-0.338,-1.892,-0.519,0.366,73.333,9.000,1.000,4.341,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.164,0.937,-0.340,-2.075,-1.129,0.122,73.333,10.000,1.000,0.016,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.160,0.935,-0.339,-2.228,-1.709,-0.122,73.333,11.000,1.000,15.676,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.160,0.933,-0.340,-2.594,-2.106,-0.214,73.333,12.000,1.000,3.051,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.158,0.930,-0.342,-2.655,-2.472,-0.427,73.333,13.000,1.000,0.015,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,696928.600,734068.000,-0.154,0.927,-0.342,-2.899,-2.716,-0.610,73.333,14.000,1.000,1.862,0.000
750000.100,744663.400,750000.100,750000.100,667681.800,635821.500,590169.300,621069.400,-0.155,0.928,-0.345,-2.960,-3.082,-0.946,73.333,15.000,1.000,2.572,0.000
683406.800,637385.900,750000.100,750000.100,571761.100,544312.800,505727.400,531692.500,-0.155,0.928,-0.345,-3.143,-3.204,-1.190,73.333,16.000,1.000,4.997,0.000
