EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,22165.930,117061.100,136578.600,136578.600,136578.600,136578.600,-0.173,0.902,-0.308,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
469382.100,469382.100,88787.590,384044.900,420303.000,453935.300,469382.100,469382.100,-0.170,0.921,-0.320,0.000,0.000,0.000,73.333,2.000,1.000,13.092,0.000
692096.800,731059.300,191701.100,579479.200,451432.200,609860.700,731059.300,714769.700,-0.172,0.927,-0.323,0.000,0.000,0.000,73.333,3.000,1.000,11.806,0.000
655984.700,801568.300,347341.800,655379.600,129939.500,469499.600,801568.300,735092.400,-0.173,0.931,-0.324,0.000,0.000,0.000,73.333,4.000,1.000,0.013,0.000
571056.100,801170.700,521173.600,727190.900,-185702.300,315375.400,814894.100,704133.500,-0.173,0.934,-0.330,-2.899,5.157,-1.617,73.333,5.000,1.000,1.893,0.000
505532.700,696563.900,608727.900,766511.300,-437019.900,283231.300,797996.100,701606.400,-0.172,0.935,-0.332,-3.143,3.967,-0.488,73.333,6.000,1.000,2.563,0.000
396793.100,433785.300,629019.800,738385.100,-718267.400,311702.300,731418.800,684122.800,-0.168,0.935,-0.336,-2.380,1.526,0.183,73.333,7.000,1.000,2.463,0.000
399056.900,274219.300,671168.200,720472.800,-672646.300,402276.400,695083.400,683568.100,-0.167,0.938,-0.337,-1.984,0.244,0.427,73.333,8.000,1.000,6.269,0.000
595548.800,423370.900,718806.300,743382.800,-77555.200,575026.900,725707.700,734613.700,-0.167,0.939,-0.338,-1.892,-0.519,0.366,73.333,9.000,1.000,4.341,0.000
777925.600,665857.800,735612.200,770353.600,573841.600,757684.800,775234.200,794211.000,-0.164,0.937,-0.340,-2.075,-1.129,0.122,73.333,10.000,1.000,0.016,0.000
810054.000,772470.900,747760.100,764227.800,838244.100,812214.800,781121.700,791788.300,-0.160,0.935,-0.339,-2.228,-1.709,-0.122,73.333,11.000,1.000,15.676,0.000
752515.800,774446.200,761693.300,722984.100,838667.200,729167.700,727119.200,719909.200,-0.160,0.933,-0.340,-2.594,-2.106,-0.214,73.333,12.000,1.000,3.051,0.000
709987.200,763044.700,757836.100,708564.300,807940.600,680780.800,693304.600,680178.200,-0.158,0.930,-0.342,-2.655,-2.472,-0.427,73.333,13.000,1.000,0.015,0.000
713894.900,735762.400,734721.900,729734.800,763871.300,730076.100,705515.600,711969.400,-0.154,0.927,-0.342,-2.899,-2.716,-0.610,73.333,14.000,1.000,1.862,0.000
744623.900,710876.300,716916.100,751637.700,700891.600,764560.000,701203.800,736647.700,-0.155,0.928,-0.345,-2.960,-3.082,-0.946,73.333,15.000,1.000,2.572,0.000
745903.100,694182.600,726567.400,746207.800,648024.200,687140.500,624794.500,665784.400,-0.155,0.928,-0.345,-3.143,-3.204,-1.190,73.333,16.000,1.000,4.997,0.000
672669.600,644686.900,743473.100,713513.400,598856.400,525933.900,490465.800,515628.000,-0.152,0.928,-0.345,-3.204,-3.387,-1.343,73.333,17.000,1.000,2.404,0.000
568940.900,566637.300,742257.300,701630.000,541057.400,409759.700,381885.600,397667.700,-0.152,0.926,-0.346,-3.418,-3.387,-1.648,73.333,18.000,1.000,3.743,0.000
484149.700,464361.100,723151.400,717024.400,440039.200,376560.500,330433.200,351193.800,-0.150,0.924,-0.347,-3.540,-3.601,-1.862,73.333,19.000,1.000,6.887,0.000
428112.300,369274.200,707956.800,732971.600,330984.900,358820.600,309492.700,334682.300,-0.148,0.923,-0.343,-3.510,-3.418,-1.923,73.333,20.000,1.000,0.023,0.000
