EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.068,0.884,-0.412,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
750000.100,750000.100,564814.800,750000.100,549948.300,637371.800,750000.100,750000.100,-0.066,0.897,-0.425,0.000,0.000,0.000,66.667,2.000,1.000,15.609,0.000
689152.700,750000.100,272892.100,702951.800,-171595.100,295452.300,750000.100,698678.900,-0.069,0.904,-0.429,0.000,0.000,0.000,66.667,3.000,1.000,2.494,0.000
650744.300,750000.100,244863.200,657068.100,-439592.600,179669.100,750000.100,618572.800,-0.076,0.906,-0.432,0.000,0.000,0.000,66.667,4.000,1.000,2.466,0.000
660978.600,750000.100,292280.600,686379.400,-648454.100,319192.100,750000.100,670733.900,-0.081,0.905,-0.436,-1.556,3.571,-3.174,66.667,5.000,1.000,2.460,0.000
700341.500,750000.100,404594.100,733270.400,-750000.100,515892.600,750000.100,750000.100,-0.086,0.904,-0.440,11.383,7.904,-1.282,66.667,6.000,1.000,3.702,0.000
750000.100,750000.100,549951.400,750000.100,184073.000,598044.400,750000.100,750000.100,-0.092,0.902,-0.436,16.418,8.453,0.092,66.667,7.000,1.000,14.492,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,674650.900,750000.100,750000.100,-0.097,0.894,-0.438,18.219,8.392,0.549,66.667,8.000,1.000,0.019,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.099,0.888,-0.439,18.799,8.148,0.519,66.667,9.000,1.000,1.649,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.099,0.878,-0.440,19.196,7.874,0.641,66.667,10.000,1.000,7.715,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.098,0.872,-0.439,19.440,7.446,0.641,66.667,11.000,1.000,2.428,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.100,0.863,-0.442,19.867,7.019,0.702,66.667,12.000,1.000,2.503,0.000
663394.400,642393.300,750000.100,739811.800,638892.800,699320.800,669031.900,649003.300,-0.098,0.860,-0.445,20.233,6.439,0.580,66.667,13.000,1.000,2.419,0.000
553322.600,535816.800,695811.800,616847.900,532930.900,583076.100,558214.200,541314.400,-0.097,0.862,-0.446,20.660,6.042,0.610,66.667,14.000,1.000,4.370,0.000
469492.400,454577.800,589904.100,523279.600,452214.400,494474.600,473836.300,459283.500,-0.094,0.864,-0.449,20.996,5.402,0.610,66.667,15.000,1.000,0.008,0.000
402575.600,389616.700,505451.600,448639.800,387740.000,423747.400,406534.400,393785.500,-0.090,0.865,-0.449,21.149,4.883,0.671,66.667,16.000,1.000,8.243,0.000
347502.500,336139.600,436098.600,387370.400,334719.500,365502.100,351229.400,340011.300,-0.092,0.867,-0.450,21.332,4.395,0.854,66.667,17.000,1.000,4.311,0.000
301924.300,291598.500,378432.600,336498.200,290787.100,317367.600,305241.500,295376.200,-0.089,0.869,-0.451,21.576,3.937,1.007,66.667,18.000,1.000,0.011,0.000
264055.500,255228.600,330828.300,294426.800,254364.800,277689.800,267004.700,258281.000,-0.087,0.874,-0.454,21.637,3.479,1.190,66.667,19.000,1.000,5.686,0.000
239870.200,231929.800,300406.000,267550.300,231111.500,252188.800,242573.500,234589.400,-0.087,0.877,-0.454,21.576,3.021,1.404,66.667,20.000,1.000,3.670,0.000
230567.000,222897.400,288671.700,257063.700,222154.800,242370.300,233207.300,225480.200,-0.088,0.881,-0.459,21.484,2.686,1.404,66.667,21.000,1.000,14.378,0.000
223953.700,216488.500,280327.400,249696.100,215787.200,235398.600,226545.000,218999.300,-0.088,0.885,-0.459,21.454,2.411,1.404,66.667,22.000,1.000,0.019,0.000
217828.300,210559.900,272627.300,242912.300,209896.800,228960.900,220372.400,213011.200,-0.091,0.891,-0.460,21.271,2.014,1.190,66.667,23.000,1.000,1.899,0.000
212209.200,205115.900,265560.300,236647.700,204470.300,223059.200,214697.800,207510.500,-0.090,0.901,-0.465,21.027,1.709,0.977,66.667,24.000,1.000,2.488,0.000
207046.100,200109.500,259068.000,230877.300,199482.800,217641.700,209481.500,202450.400,-0.086,0.910,-0.468,20.599,1.404,0.763,66.667,25.000,1.000,2.441,0.000
202258.700,195489.600,253070.300,225536.600,194877.700,212622.800,204634.200,197769.900,-0.084,0.912,-0.474,19.928,1.221,0.641,66.667,26.000,1.000,3.798,0.000
197832.400,191211.200,247519.300,220592.800,190614.500,207970.800,200137.200,193443.500,-0.079,0.913,-0.475,19.318,1.099,0.458,66.667,27.000,1.000,11.809,0.000
193751.300,187267.800,242388.000,216018.300,186676.600,203677.900,195983.000,189445.400,-0.075,0.909,-0.478,18.463,0.946,0.336,66.667,28.000,1.000,0.024,0.000
