EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
216549.000,210679.300,241459.700,224277.600,212381.200,228570.300,226199.000,216335.500,-0.125,0.986,-0.304,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
205370.800,199797.800,228853.400,212642.500,201415.300,216762.100,214508.000,205161.100,-0.125,0.988,-0.315,0.000,0.000,0.000,66.667,2.000,1.000,18.076,0.000
198747.600,193370.900,221387.600,205744.200,194924.500,209776.200,207580.800,198544.700,-0.128,0.981,-0.320,0.000,0.000,0.000,66.667,3.000,1.000,2.453,0.000
192994.900,187778.600,214916.800,199743.400,189291.700,203712.800,201566.700,192807.900,-0.134,0.973,-0.323,-3.052,6.927,-5.249,66.667,4.000,1.000,8.607,0.000
187953.700,182880.200,209250.700,194488.200,184351.800,198400.900,196288.900,187775.300,-0.141,0.963,-0.327,8.850,9.827,-2.716,66.667,5.000,1.000,10.174,0.000
183465.800,178524.600,204212.000,189810.000,179952.200,193674.400,191581.900,183291.400,-0.149,0.955,-0.332,12.756,11.047,-1.984,66.667,6.000,1.000,2.496,0.000
179444.000,174618.500,199698.000,185621.000,176011.000,189435.500,187361.600,179272.300,-0.154,0.946,-0.334,14.587,11.536,-1.801,66.667,7.000,1.000,2.490,0.000
175806.700,171070.300,195619.300,181838.600,172446.500,185599.000,183560.000,175646.600,-0.158,0.938,-0.334,15.717,11.688,-1.709,66.667,8.000,1.000,2.528,0.000
172501.000,167859.400,191915.000,178395.700,169206.000,182113.300,180109.300,172350.300,-0.159,0.931,-0.336,16.693,11.566,-1.526,66.667,9.000,1.000,2.476,0.000
169484.600,164933.800,188536.600,175254.100,166248.800,178937.700,176954.800,169338.500,-0.159,0.924,-0.338,17.548,11.536,-1.312,66.667,10.000,1.000,2.460,0.000
166727.400,162248.800,185448.000,172384.900,163540.900,176022.900,174057.400,166576.700,-0.156,0.917,-0.339,18.494,11.536,-1.007,66.667,11.000,1.000,6.260,0.000
164178.800,159770.200,182598.500,169744.600,161044.000,173336.800,171390.000,164033.300,-0.158,0.916,-0.341,19.287,11.658,-0.488,66.667,12.000,1.000,4.290,0.000
161827.100,157485.800,179968.800,167303.900,158741.000,170856.300,168940.000,161690.800,-0.164,0.917,-0.343,19.958,11.536,0.031,66.667,13.000,1.000,0.014,0.000
159650.800,155377.000,177536.700,165037.000,156612.500,168570.300,166676.300,159524.700,-0.168,0.920,-0.343,20.721,11.505,0.488,66.667,14.000,1.000,10.694,0.000
157625.800,153412.100,175272.400,162938.100,154630.400,166439.400,164562.300,157504.600,-0.174,0.924,-0.345,21.423,11.353,0.702,66.667,15.000,1.000,3.041,0.000
155758.000,151597.500,173177.800,160996.300,152800.600,164469.500,162606.400,155637.300,-0.176,0.929,-0.350,22.064,11.047,1.068,66.667,16.000,1.000,0.015,0.000
154018.300,149903.400,171225.900,159184.900,151089.000,162631.100,160777.100,153891.500,-0.172,0.936,-0.356,22.583,10.681,1.465,66.667,17.000,1.000,1.932,0.000
152381.500,148306.000,169391.500,157481.800,149475.700,160900.000,159066.300,152253.600,-0.168,0.938,-0.362,22.980,10.406,1.831,66.667,18.000,1.000,8.753,0.000
150848.800,146814.500,167676.700,155890.700,147971.300,159281.400,157472.000,150727.100,-0.160,0.938,-0.363,23.193,10.193,2.167,66.667,19.000,1.000,3.067,0.000
149424.300,145432.900,166084.800,154417.000,146577.700,157780.400,155986.600,149307.700,-0.152,0.936,-0.369,23.468,10.010,2.350,66.667,20.000,1.000,0.015,0.000
148093.400,144148.700,164594.500,153037.000,145271.600,156373.200,154588.200,147970.900,-0.144,0.933,-0.369,23.651,10.071,2.716,66.667,21.000,1.000,4.418,0.000
146830.300,142907.900,163180.800,151707.900,144033.000,155043.900,153266.500,146707.200,-0.139,0.934,-0.369,24.048,10.101,2.838,66.667,22.000,1.000,8.744,0.000
145651.700,141764.500,161863.800,150485.900,142877.600,153798.800,152039.200,145532.800,-0.136,0.942,-0.373,24.414,10.345,3.021,66.667,23.000,1.000,3.065,0.000
144541.500,140686.500,160620.500,149330.500,141785.000,152622.300,150880.900,144423.900,-0.129,0.948,-0.378,24.567,10.498,2.991,66.667,24.000,1.000,0.013,0.000
143503.000,139674.800,159457.400,148255.400,140764.000,151519.600,149792.100,143381.500,-0.122,0.954,-0.377,24.567,10.559,2.960,66.667,25.000,1.000,1.874,0.000
142520.100,138713.100,158353.400,147227.000,139794.900,150475.300,148751.600,142385.200,-0.114,0.955,-0.375,24.384,10.803,2.930,66.667,26.000,1.000,8.717,0.000
141607.800,137824.200,157326.800,146274.500,138894.600,149504.800,147786.000,141463.100,-0.108,0.955,-0.374,24.078,11.108,2.747,66.667,27.000,1.000,2.516,0.000
140732.400,136960.800,156347.200,145373.000,138034.000,148574.600,146874.700,140593.500,-0.105,0.950,-0.375,23.712,11.597,2.502,66.667,28.000,1.000,17.464,0.000
139904.000,136156.300,155419.800,144508.200,137220.000,147698.700,146013.500,139768.900,-0.105,0.948,-0.377,23.315,11.841,2.441,66.667,29.000,1.000,0.013,0.000
139124.100,135394.600,154543.400,143699.200,136450.900,146871.400,145196.000,138992.800,-0.106,0.946,-0.381,23.041,12.085,2.167,66.667,30.000,1.000,0.006,0.000
138383.600,134675.000,153713.600,142930.700,135723.500,146093.300,144417.400,138245.600,-0.104,0.945,-0.384,22.766,12.482,1.862,66.667,31.000,1.000,2.289,0.000
137695.800,134008.600,152945.000,142218.700,135050.400,145374.500,143692.000,137553.800,-0.102,0.945,-0.380,22.461,12.634,1.556,66.667,32.000,1.000,6.481,0.000
137036.100,133367.700,152209.800,141537.400,134403.600,144671.000,143009.300,136899.800,-0.104,0.941,-0.382,22.125,12.909,1.068,66.667,33.000,1.000,2.462,0.000
136400.600,132745.600,151500.300,140879.900,133780.400,143998.300,142356.500,136271.300,-0.105,0.937,-0.381,21.759,13.184,0.702,66.667,34.000,1.000,2.515,0.000
135815.900,132166.900,150844.200,140270.300,133206.200,143380.500,141744.700,135686.900,-0.107,0.933,-0.380,21.271,13.428,0.305,66.667,35.000,1.000,2.509,0.000
135262.100,131632.200,150224.700,139694.500,132663.800,142797.100,141159.900,135127.800,-0.110,0.930,-0.385,20.935,13.641,-0.031,66.667,36.000,1.000,2.434,0.000
134735.300,131115.700,149635.200,139148.400,132148.300,142243.000,140607.400,134597.500,-0.114,0.926,-0.386,20.599,13.733,-0.336,66.667,37.000,1.000,8.791,0.000
134229.900,130624.100,149070.600,138623.900,131653.000,141705.000,140083.500,134092.700,-0.115,0.922,-0.393,20.294,13.763,-0.702,66.667,38.000,1.000,3.108,0.000
133752.000,130161.500,148539.500,138129.900,131188.200,141198.300,139592.500,133617.000,-0.116,0.922,-0.398,20.111,13.824,-1.007,66.667,39.000,1.000,0.024,0.000
133304.800,129728.700,148039.900,137665.700,130752.000,140722.500,139126.700,133170.200,-0.118,0.922,-0.397,19.928,13.855,-1.434,66.667,40.000,1.000,5.554,0.000
132884.400,129318.400,147566.500,137226.300,130338.500,140278.100,138681.500,132744.000,-0.116,0.922,-0.404,19.806,13.855,-1.740,66.667,41.000,1.000,9.390,0.000
132483.900,128929.300,147117.600,136810.700,129947.100,139853.900,138261.500,132342.700,-0.112,0.921,-0.405,19.592,13.855,-2.106,66.667,42.000,1.000,0.016,0.000
132095.100,128552.900,146686.800,136411.600,129572.500,139447.900,137867.600,131962.100,-0.115,0.917,-0.402,19.287,13.855,-2.197,66.667,43.000,1.000,4.984,0.000
131726.600,128196.600,146279.100,136033.300,129217.000,139063.800,137495.800,131604.700,-0.116,0.915,-0.399,18.860,13.886,-2.441,66.667,44.000,1.000,0.017,0.000
131376.000,127853.900,145889.000,135670.300,128873.800,138695.400,137133.200,131258.200,-0.123,0.914,-0.401,18.463,13.977,-2.655,66.667,45.000,1.000,13.168,0.000
131050.400,127538.500,145526.900,135332.600,128552.700,138351.300,136788.100,130932.100,-0.125,0.912,-0.400,18.188,13.794,-2.930,66.667,46.000,1.000,2.414,0.000
130741.600,127241.400,145181.700,135012.900,128247.500,138026.600,136461.000,130624.900,-0.128,0.910,-0.396,17.822,13.611,-3.143,66.667,47.000,1.000,3.145,0.000
130449.500,126962.000,144853.900,134710.900,127958.700,137721.800,136155.900,130336.500,-0.129,0.910,-0.393,17.517,13.489,-3.204,66.667,48.000,1.000,0.010,0.000
130162.400,126690.700,144534.300,134415.300,127675.700,137427.800,135862.700,130050.300,-0.127,0.909,-0.394,16.968,13.153,-3.418,66.667,49.000,1.000,1.922,0.000
129886.500,126412.600,144225.000,134127.700,127404.200,137138.800,135576.400,129773.600,-0.125,0.906,-0.391,16.510,13.092,-3.387,66.667,50.000,1.000,8.737,0.000
129636.600,126173.300,143946.000,133871.100,127161.200,136877.400,135311.400,129522.500,-0.126,0.907,-0.390,15.808,12.787,-3.479,66.667,51.000,1.000,3.029,0.000
129401.100,125942.500,143681.000,133622.400,126929.000,136625.500,135056.200,129279.500,-0.129,0.906,-0.385,15.320,12.451,-3.540,66.667,52.000,1.000,0.006,0.000
129176.700,125722.400,143429.500,133390.500,126709.700,136387.500,134827.300,129057.500,-0.132,0.903,-0.381,14.709,12.115,-3.357,66.667,53.000,1.000,3.134,0.000
128957.100,125508.300,143183.800,133163.000,126495.200,136158.000,134607.900,128843.100,-0.133,0.897,-0.378,13.977,11.688,-3.296,66.667,54.000,1.000,9.464,0.000
128743.600,125303.500,142946.400,132943.300,126289.100,135942.500,134388.600,128632.400,-0.135,0.894,-0.377,13.214,11.292,-3.235,66.667,55.000,1.000,0.022,0.000
128547.700,125112.900,142726.700,132737.700,126098.400,135736.800,134180.500,128437.500,-0.136,0.889,-0.374,12.512,11.017,-3.113,66.667,56.000,1.000,1.786,0.000
128370.400,124939.700,142529.100,132554.600,125926.900,135541.700,133994.500,128261.700,-0.138,0.890,-0.369,11.963,10.590,-3.052,66.667,57.000,1.000,6.330,0.000
128202.800,124779.400,142343.900,132380.700,125766.700,135370.300,133827.500,128097.900,-0.140,0.891,-0.367,11.261,10.162,-3.082,66.667,58.000,1.000,10.509,0.000
128032.400,124612.400,142153.400,132202.400,125600.100,135190.800,133657.500,127931.600,-0.140,0.894,-0.362,10.651,9.705,-3.113,66.667,59.000,1.000,0.012,0.000
127873.300,124454.300,141971.800,132035.300,125440.300,135013.600,133480.300,127768.200,-0.139,0.895,-0.354,9.766,9.094,-3.021,66.667,60.000,1.000,1.873,0.000
127728.300,124310.800,141804.700,131882.100,125292.900,134851.800,133316.900,127614.500,-0.137,0.895,-0.347,8.881,8.667,-2.808,66.667,61.000,1.000,2.604,0.000
127594.900,124176.300,141650.900,131743.700,125164.200,134717.900,133184.700,127484.300,-0.139,0.894,-0.343,7.965,8.301,-2.686,66.667,62.000,1.000,6.177,0.000
127455.500,124041.100,141494.000,131599.100,125026.300,134571.300,133037.900,127342.800,-0.144,0.892,-0.342,6.958,7.935,-2.594,66.667,63.000,1.000,16.869,0.000
127317.400,123902.100,141337.300,131454.800,124884.700,134415.000,132887.100,127205.200,-0.150,0.892,-0.343,6.012,7.446,-2.563,66.667,64.000,1.000,0.009,0.000
127203.800,123790.500,141206.600,131332.900,124768.700,134292.700,132763.000,127083.900,-0.157,0.891,-0.348,5.066,6.866,-2.655,66.667,65.000,1.000,2.492,0.000
127091.000,123680.200,141077.600,131211.500,124654.300,134174.300,132638.300,126962.100,-0.160,0.891,-0.351,4.364,6.287,-2.686,66.667,66.000,1.000,0.005,0.000
126985.900,123578.900,140959.600,131102.500,124553.500,134066.600,132531.200,126860.300,-0.160,0.896,-0.350,3.784,5.737,-2.838,66.667,67.000,1.000,1.885,0.000
126885.000,123483.400,140848.000,130998.300,124456.100,133959.700,132421.800,126759.900,-0.158,0.902,-0.351,3.296,5.035,-2.869,66.667,68.000,1.000,5.061,0.000
126782.900,123386.600,140735.400,130893.700,124358.200,133850.400,132318.300,126659.000,-0.152,0.910,-0.347,2.472,4.425,-2.869,66.667,69.000,1.000,2.436,0.000
