EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
170720.000,165555.700,189914.600,175287.900,165885.800,179998.400,175208.900,168482.500,-0.156,0.895,-0.312,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
167108.300,162068.300,185804.900,171511.200,162387.100,176191.300,171503.900,164934.600,-0.149,0.916,-0.331,0.000,0.000,0.000,66.667,2.000,1.000,25.423,0.000
163936.500,159014.300,182217.600,168263.900,159315.100,172839.600,168229.500,161806.600,-0.145,0.923,-0.336,-4.120,2.960,-3.387,66.667,3.000,1.000,2.446,0.000
161115.900,156275.600,179025.000,165313.000,156567.800,169846.800,165298.500,159000.000,-0.140,0.924,-0.341,-5.524,0.061,-0.122,66.667,4.000,1.000,2.455,0.000
158540.300,153774.500,176128.600,162618.200,154076.800,167141.800,162660.400,156464.800,-0.132,0.930,-0.339,-5.524,-1.801,1.862,66.667,5.000,1.000,2.517,0.000
156221.500,151532.200,173529.000,160228.100,151835.700,164708.400,160304.300,154201.700,-0.129,0.932,-0.339,-5.737,-2.075,2.197,66.667,6.000,1.000,2.507,0.000
154138.100,149524.800,171193.200,158104.800,149817.000,162514.900,158172.600,152152.700,-0.129,0.935,-0.336,-5.890,-2.075,2.289,66.667,7.000,1.000,2.481,0.000
152281.600,147713.900,169101.100,156227.300,148003.900,160531.800,156238.500,150301.600,-0.129,0.938,-0.338,-6.256,-1.892,2.228,66.667,8.000,1.000,9.377,0.000
150532.800,146029.400,167142.600,154385.900,146315.500,158702.300,154445.100,148580.800,-0.128,0.935,-0.337,-6.561,-1.862,2.075,66.667,9.000,1.000,0.026,0.000
148924.900,144467.900,165336.000,152669.000,144752.900,157010.600,152798.900,146990.700,-0.124,0.928,-0.336,-6.744,-1.617,1.953,66.667,10.000,1.000,1.943,0.000
147466.000,143034.700,163701.300,151215.500,143339.000,155466.200,151313.000,145565.800,-0.123,0.922,-0.337,-6.866,-1.434,1.770,66.667,11.000,1.000,3.699,0.000
146102.100,141721.300,162180.200,149839.800,142022.000,154034.300,149924.800,144238.900,-0.120,0.920,-0.337,-6.866,-1.190,1.617,66.667,12.000,1.000,14.319,0.000
144842.300,140497.600,160764.300,148503.100,140791.000,152704.500,148621.100,142978.500,-0.118,0.917,-0.340,-6.592,-1.068,1.221,66.667,13.000,1.000,0.021,0.000
143677.500,139369.700,159460.300,147307.800,139656.000,151473.000,147413.300,141819.800,-0.114,0.913,-0.342,-6.409,-0.763,1.007,66.667,14.000,1.000,1.876,0.000
142583.000,138319.600,158237.500,146173.100,138591.200,150322.500,146291.900,140748.500,-0.113,0.909,-0.345,-6.073,-0.519,0.916,66.667,15.000,1.000,2.452,0.000
141549.900,137326.400,157084.000,145094.700,137585.100,149240.000,145238.200,139731.800,-0.112,0.905,-0.348,-5.798,-0.275,0.763,66.667,16.000,1.000,2.552,0.000
140603.000,136373.500,156015.500,144100.600,136649.200,148221.400,144259.200,138787.200,-0.112,0.902,-0.352,-5.402,0.061,0.793,66.667,17.000,1.000,8.738,0.000
139731.600,135541.200,155043.200,143219.500,135804.600,147304.800,143358.600,137926.800,-0.113,0.898,-0.348,-4.791,0.397,0.732,66.667,18.000,1.000,5.599,0.000
138906.100,134722.400,154117.300,142381.200,134997.100,146426.500,142497.900,137103.600,-0.116,0.894,-0.350,-4.364,0.671,0.793,66.667,19.000,1.000,0.013,0.000
138130.100,133975.900,153253.100,141599.100,134247.300,145610.000,141699.100,136337.400,-0.121,0.893,-0.352,-3.784,0.916,0.763,66.667,20.000,1.000,1.929,0.000
137420.700,133289.100,152459.900,140892.500,133559.500,144856.100,140977.300,135649.900,-0.121,0.894,-0.350,-3.235,1.251,0.732,66.667,21.000,1.000,8.705,0.000
136718.800,132612.500,151671.900,140119.700,132871.900,144120.300,140268.400,134951.600,-0.119,0.897,-0.350,-2.625,1.617,0.885,66.667,22.000,1.000,2.512,0.000
136085.000,132023.200,150962.200,139459.200,132256.600,143455.700,139612.800,134315.800,-0.119,0.899,-0.349,-2.167,1.709,0.793,66.667,23.000,1.000,3.072,0.000
135513.400,131433.500,150322.800,138923.500,131701.500,142841.900,139014.500,133756.800,-0.119,0.902,-0.348,-1.801,1.801,0.824,66.667,24.000,1.000,0.009,0.000
134931.900,130879.800,149674.600,138286.800,131140.400,142244.000,138428.900,133183.000,-0.121,0.906,-0.346,-1.434,2.228,0.946,66.667,25.000,1.000,10.760,0.000
134391.600,130385.600,149072.400,137691.300,130617.600,141678.900,137890.300,132653.900,-0.122,0.911,-0.351,-1.190,2.319,1.068,66.667,26.000,1.000,2.906,0.000
133914.800,129888.900,148541.700,137281.700,130155.600,141166.800,137401.500,132189.200,-0.127,0.916,-0.347,-0.793,2.594,1.190,66.667,27.000,1.000,0.089,0.000
133404.400,129397.200,147970.300,136701.800,129660.800,140640.800,136878.300,131683.600,-0.132,0.920,-0.345,-0.824,2.625,1.251,66.667,28.000,1.000,1.641,0.000
132945.800,128951.100,147451.900,136206.200,129208.800,140155.800,136395.800,131222.100,-0.137,0.928,-0.346,-0.824,2.686,1.434,66.667,29.000,1.000,6.472,0.000
132553.800,128574.200,147015.800,135865.300,128825.700,139730.500,135982.000,130831.500,-0.140,0.934,-0.346,-0.702,2.625,1.617,66.667,30.000,1.000,3.802,0.000
132135.800,128196.700,146556.600,135413.100,128428.000,139304.100,135574.100,130424.800,-0.142,0.940,-0.346,-0.793,2.563,1.740,66.667,31.000,1.000,9.339,0.000
131748.700,127808.700,146122.900,134991.800,128049.300,138892.000,135181.900,130039.600,-0.146,0.942,-0.347,-0.916,2.380,1.862,66.667,32.000,1.000,0.052,0.000
131391.400,127438.300,145731.700,134673.200,127714.300,138529.300,134825.500,129703.100,-0.150,0.945,-0.353,-1.129,2.106,2.167,66.667,33.000,1.000,1.815,0.000
131062.900,127145.300,145366.100,134326.700,127395.600,138183.700,134480.300,129376.200,-0.152,0.943,-0.355,-1.495,1.831,2.350,66.667,34.000,1.000,8.726,0.000
130748.700,126826.100,145013.100,133990.900,127088.400,137852.200,134155.900,129062.200,-0.154,0.938,-0.354,-1.709,1.617,2.655,66.667,35.000,1.000,3.029,0.000
130418.100,126530.100,144651.500,133624.200,126775.000,137520.100,133834.900,128745.100,-0.155,0.932,-0.355,-1.801,1.404,2.747,66.667,36.000,1.000,0.010,0.000
130136.600,126247.900,144338.000,133363.400,126500.400,137218.400,133550.000,128467.600,-0.154,0.927,-0.358,-1.923,0.885,2.869,66.667,37.000,1.000,8.193,0.000
129869.500,125984.200,144041.600,133099.200,126245.600,136945.200,133281.000,128211.300,-0.155,0.918,-0.359,-1.892,0.549,3.082,66.667,38.000,1.000,14.917,0.000
129649.000,125796.000,143795.800,132924.100,126031.000,136701.300,133034.900,127990.500,-0.152,0.913,-0.363,-1.923,0.153,3.082,66.667,39.000,1.000,0.019,0.000
129420.700,125575.300,143532.000,132649.400,125794.600,136443.400,132781.700,127744.500,-0.153,0.909,-0.370,-1.892,-0.122,3.143,66.667,40.000,1.000,0.010,0.000
129127.200,125264.500,143215.000,132301.700,125525.000,136173.300,132524.700,127474.100,-0.154,0.910,-0.373,-1.617,-0.275,3.174,66.667,41.000,1.000,3.111,0.000
128924.500,125087.900,142986.800,132104.200,125325.500,135951.700,132319.100,127277.400,-0.152,0.911,-0.374,-1.404,-0.549,3.021,66.667,42.000,1.000,0.011,0.000
128715.800,124905.500,142757.700,131874.200,125131.500,135739.100,132113.900,127087.700,-0.150,0.910,-0.376,-1.099,-0.885,2.991,66.667,43.000,1.000,1.840,0.000
128545.900,124738.700,142567.800,131734.000,124965.100,135548.900,131920.400,126907.200,-0.141,0.910,-0.378,-0.946,-1.221,2.991,66.667,44.000,1.000,6.316,0.000
128366.600,124532.200,142366.400,131558.200,124793.900,135358.100,131739.200,126742.800,-0.131,0.908,-0.385,-0.702,-1.282,2.899,66.667,45.000,1.000,9.347,0.000
128178.800,124340.000,142154.800,131326.500,124610.200,135170.800,131557.800,126554.400,-0.123,0.910,-0.387,-0.519,-1.343,2.899,66.667,46.000,1.000,0.026,0.000
128011.000,124201.000,141973.300,131179.200,124447.300,134987.900,131384.700,126385.100,-0.116,0.911,-0.384,-0.305,-1.129,2.747,66.667,47.000,1.000,2.461,0.000
127888.600,124096.600,141838.500,131097.600,124327.500,134854.300,131238.800,126258.800,-0.110,0.912,-0.384,-0.214,-0.977,2.625,66.667,48.000,1.000,0.012,0.000
127777.700,123954.900,141710.900,131036.600,124217.900,134724.200,131111.900,126148.500,-0.106,0.912,-0.381,-0.183,-0.702,2.502,66.667,49.000,1.000,10.687,0.000
