EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,143395.300,666481.300,750000.100,750000.100,750000.100,750000.100,-0.012,0.892,-0.378,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
750000.100,750000.100,207180.700,565667.900,533919.400,687712.800,750000.100,750000.100,-0.012,0.906,-0.388,0.000,0.000,0.000,66.667,2.000,1.000,12.686,0.000
562570.400,750000.100,383571.800,640743.100,-149784.500,289772.600,750000.100,698516.800,-0.012,0.912,-0.393,0.000,0.000,0.000,66.667,3.000,1.000,2.926,0.000
489302.200,750000.100,619831.200,730947.900,-355214.600,174200.400,750000.100,627148.300,-0.012,0.913,-0.395,0.000,0.000,0.000,66.667,4.000,1.000,2.297,0.000
502100.000,741836.600,577069.600,750000.100,-533356.400,289495.100,750000.100,686106.300,-0.012,0.917,-0.397,-2.167,2.960,-2.380,66.667,5.000,1.000,3.624,0.000
407119.100,434871.100,651021.100,750000.100,-750000.100,439880.400,750000.100,750000.100,-0.012,0.916,-0.401,-3.082,4.211,-2.716,66.667,6.000,1.000,24.982,0.000
410658.600,192166.400,720560.900,750000.100,-750000.100,562077.800,750000.100,750000.100,-0.013,0.918,-0.402,-2.594,3.265,-1.648,66.667,7.000,1.000,4.954,0.000
750000.100,599932.900,750000.100,750000.100,320429.800,573947.900,750000.100,750000.100,-0.013,0.919,-0.403,-2.258,2.991,-1.221,66.667,8.000,1.000,2.617,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.013,0.921,-0.406,-2.136,2.838,-1.007,66.667,9.000,1.000,2.296,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.014,0.923,-0.404,-2.075,2.716,-0.885,66.667,10.000,1.000,2.553,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.018,0.925,-0.407,-2.289,2.716,-0.732,66.667,11.000,1.000,2.437,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.016,0.927,-0.407,-2.350,2.594,-0.549,66.667,12.000,1.000,2.543,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.018,0.927,-0.406,-2.380,2.594,-0.366,66.667,13.000,1.000,2.486,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,739452.200,670990.600,720057.000,-0.018,0.926,-0.402,-2.411,2.472,-0.244,66.667,14.000,1.000,2.544,0.000
750000.100,736243.400,750000.100,750000.100,644764.000,625025.300,567783.500,608846.300,-0.016,0.924,-0.403,-2.625,2.441,-0.092,66.667,15.000,1.000,2.411,0.000
678361.900,630069.000,750000.100,750000.100,552306.400,535094.400,486634.100,521455.800,-0.017,0.925,-0.401,-2.686,2.350,0.092,66.667,16.000,1.000,3.087,0.000
585058.800,543350.800,750000.100,750000.100,476472.400,461462.000,420137.100,449709.200,-0.017,0.923,-0.405,-2.808,2.106,0.305,66.667,17.000,1.000,0.008,0.000
507221.500,471057.900,750000.100,750000.100,413110.000,400053.900,364695.900,389818.200,-0.016,0.922,-0.402,-2.747,1.953,0.366,66.667,18.000,1.000,1.925,0.000
442098.600,410461.700,750000.100,750000.100,360160.500,348733.200,318197.000,339867.200,-0.017,0.918,-0.401,-2.777,1.801,0.549,66.667,19.000,1.000,4.399,0.000
388023.000,360198.000,750000.100,750000.100,316171.800,306205.600,279369.700,298332.900,-0.017,0.916,-0.402,-2.747,1.678,0.610,66.667,20.000,1.000,0.011,0.000
352811.400,327533.600,750000.100,750000.100,287614.500,278494.000,254103.200,271346.300,-0.016,0.914,-0.401,-2.625,1.526,0.671,66.667,21.000,1.000,8.174,0.000
339360.800,314985.800,750000.100,750000.100,276673.000,267898.300,244497.300,260943.000,-0.017,0.914,-0.404,-2.625,1.373,0.671,66.667,22.000,1.000,3.065,0.000
330055.600,306393.500,750000.100,750000.100,269050.700,260552.200,237845.200,253700.700,-0.016,0.914,-0.398,-2.747,1.190,0.671,66.667,23.000,1.000,0.011,0.000
