EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
290772.000,272342.800,484530.200,410615.800,247995.000,233967.900,220485.000,227569.600,-0.149,0.916,-0.186,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
282884.400,264947.800,450013.200,385134.600,241229.000,227624.400,214535.600,221449.700,-0.144,0.937,-0.202,0.000,0.000,0.000,73.333,2.000,1.000,21.862,0.000
275994.800,258530.000,423424.200,365459.900,235349.900,222128.100,209370.400,216132.200,-0.139,0.942,-0.210,0.000,0.000,0.000,73.333,3.000,1.000,2.478,0.000
269906.800,252865.100,402131.300,349647.800,230147.300,217273.600,204797.900,211434.800,-0.141,0.944,-0.214,-4.913,3.021,-3.021,73.333,4.000,1.000,2.526,0.000
264512.700,247826.300,384624.500,336602.100,225512.600,212944.500,200721.200,207247.400,-0.141,0.946,-0.216,-3.326,1.404,-1.984,73.333,5.000,1.000,3.701,0.000
259717.500,243315.600,369954.300,325630.600,221375.400,209063.800,197063.400,203496.400,-0.142,0.950,-0.214,-2.625,1.190,-1.495,73.333,6.000,1.000,3.715,0.000
255387.600,239242.000,357447.900,316225.400,217658.800,205561.300,193753.700,200110.300,-0.145,0.955,-0.209,-1.953,1.404,-1.251,73.333,7.000,1.000,14.391,0.000
251418.800,235543.300,346630.500,308030.700,214283.800,202393.200,190760.100,197032.400,-0.148,0.957,-0.210,-1.709,1.678,-1.099,73.333,8.000,1.000,0.016,0.000
247758.600,232148.100,337150.600,300799.500,211166.500,199478.500,188011.200,194198.000,-0.150,0.959,-0.213,-1.373,2.014,-0.946,73.333,9.000,1.000,1.862,0.000
244421.500,229037.700,328794.300,294402.800,208301.100,196795.100,185478.800,191600.600,-0.154,0.960,-0.214,-1.190,2.289,-0.977,73.333,10.000,1.000,2.546,0.000
241393.500,226177.800,321387.300,288717.300,205691.000,194320.200,183159.000,189227.400,-0.156,0.961,-0.213,-1.221,2.502,-0.885,73.333,11.000,1.000,2.431,0.000
238614.500,223555.500,314778.500,283625.600,203318.500,192070.400,181046.100,187057.600,-0.157,0.962,-0.211,-1.068,2.899,-0.793,73.333,12.000,1.000,2.527,0.000
236006.000,221129.700,308810.500,278983.700,201119.300,189991.500,179093.000,185036.500,-0.160,0.964,-0.214,-0.946,3.052,-0.763,73.333,13.000,1.000,14.315,0.000
233560.500,218866.300,303390.300,274741.800,199051.900,188043.500,177262.500,183141.700,-0.161,0.966,-0.216,-0.824,3.174,-0.763,73.333,14.000,1.000,0.019,0.000
231307.500,216770.500,298468.700,270883.600,197118.300,186223.500,175551.600,181383.400,-0.165,0.969,-0.213,-0.793,3.235,-0.702,73.333,15.000,1.000,1.873,0.000
229219.100,214797.500,293966.700,267358.400,195308.100,184514.500,173938.700,179731.200,-0.164,0.969,-0.213,-0.854,3.357,-0.732,73.333,16.000,1.000,2.527,0.000
227265.300,212941.000,289840.500,264098.000,193634.800,182931.000,172451.900,178202.200,-0.164,0.970,-0.210,-0.977,3.326,-0.702,73.333,17.000,1.000,8.705,0.000
225422.100,211232.700,286049.600,261087.600,192081.000,181466.300,171076.200,176777.400,-0.167,0.972,-0.214,-1.038,3.387,-0.610,73.333,18.000,1.000,2.572,0.000
223686.100,209626.800,282547.800,258292.000,190609.800,180088.700,169781.500,175435.500,-0.168,0.971,-0.212,-1.068,3.357,-0.549,73.333,19.000,1.000,3.086,0.000
222075.200,208123.600,279313.100,255706.700,189219.900,178791.200,168553.600,174177.000,-0.170,0.971,-0.212,-1.190,3.510,-0.458,73.333,20.000,1.000,0.013,0.000
220585.300,206714.300,276325.200,253319.800,187924.000,177571.800,167394.600,172989.500,-0.170,0.969,-0.214,-1.221,3.510,-0.488,73.333,21.000,1.000,1.893,0.000
219170.000,205373.300,273539.200,251085.500,186712.600,176417.200,166296.300,171877.900,-0.169,0.965,-0.213,-1.343,3.571,-0.488,73.333,22.000,1.000,8.671,0.000
217818.300,204117.700,270941.100,248989.400,185576.500,175344.200,165278.300,170832.700,-0.165,0.963,-0.216,-1.556,3.510,-0.427,73.333,23.000,1.000,4.439,0.000
216535.000,202942.300,268517.100,247015.500,184504.300,174344.800,164338.900,169854.800,-0.163,0.960,-0.218,-1.495,3.693,-0.336,73.333,24.000,1.000,0.020,0.000
215342.100,201831.200,266255.400,245185.400,183481.800,173390.200,163437.900,168929.700,-0.162,0.958,-0.219,-1.526,3.754,-0.183,73.333,25.000,1.000,26.213,0.000
214239.800,200779.200,264140.700,243481.000,182521.900,172483.600,162577.400,168044.300,-0.161,0.959,-0.220,-1.404,3.876,0.000,73.333,26.000,1.000,0.022,0.000
213216.400,199803.100,262179.600,241893.800,181643.800,171652.900,161788.900,167231.200,-0.162,0.958,-0.219,-1.221,4.120,0.000,73.333,27.000,1.000,1.821,0.000
212218.100,198878.000,260328.400,240380.300,180812.000,170870.700,161047.000,166461.400,-0.163,0.961,-0.218,-1.099,4.089,0.092,73.333,28.000,1.000,5.023,0.000
211247.100,197989.600,258564.600,238931.500,179998.400,170107.200,160328.100,165712.400,-0.164,0.961,-0.219,-1.038,4.089,0.244,73.333,29.000,1.000,2.507,0.000
210339.600,197138.300,256901.500,237567.900,179215.900,169370.400,159634.800,164994.600,-0.164,0.961,-0.221,-0.916,4.059,0.122,73.333,30.000,1.000,2.469,0.000
209527.900,196355.300,255364.900,236318.300,178503.400,168693.400,158993.200,164340.200,-0.165,0.962,-0.219,-0.977,4.120,0.214,73.333,31.000,1.000,2.517,0.000
208755.500,195611.200,253915.900,235138.800,177840.900,168055.500,158391.200,163725.100,-0.167,0.964,-0.214,-0.916,4.181,0.275,73.333,32.000,1.000,2.433,0.000
207990.100,194904.800,252540.700,234001.000,177211.400,167457.400,157830.700,163143.500,-0.168,0.967,-0.214,-1.129,4.120,0.214,73.333,33.000,1.000,2.548,0.000
207250.400,194234.500,251233.500,232912.200,176598.800,166882.000,157297.500,162583.400,-0.171,0.969,-0.218,-1.099,3.906,0.122,73.333,34.000,1.000,5.015,0.000
206549.700,193578.500,249978.200,231876.500,175986.600,166303.200,156758.900,162023.300,-0.173,0.968,-0.218,-1.129,3.662,0.031,73.333,35.000,1.000,3.144,0.000
205931.800,192977.100,248822.600,230940.400,175433.100,165773.600,156262.400,161524.200,-0.173,0.968,-0.218,-1.312,3.571,-0.061,73.333,36.000,1.000,0.012,0.000
205372.900,192441.600,247761.000,230080.000,174952.800,165306.300,155827.300,161083.900,-0.176,0.964,-0.221,-1.373,3.326,-0.122,73.333,37.000,1.000,1.889,0.000
204781.700,191888.100,246711.900,229194.700,174469.300,164845.800,155397.900,160636.500,-0.174,0.963,-0.218,-1.556,3.052,-0.122,73.333,38.000,1.000,2.412,0.000
204191.100,191358.600,245690.100,228333.900,173969.300,164378.500,154963.500,160182.800,-0.176,0.963,-0.216,-1.587,2.716,-0.275,73.333,39.000,1.000,11.927,0.000
203664.300,190876.700,244746.300,227555.000,173509.500,163950.600,154565.600,159771.100,-0.175,0.963,-0.219,-1.770,2.319,-0.336,73.333,40.000,1.000,0.021,0.000
203195.500,190422.800,243867.600,226839.000,173093.500,163559.900,154196.400,159392.600,-0.176,0.963,-0.217,-1.892,1.984,-0.336,73.333,41.000,1.000,2.349,0.000
202756.100,190002.400,243045.300,226169.400,172722.100,163205.700,153862.600,159052.000,-0.174,0.962,-0.216,-2.045,1.678,-0.427,73.333,42.000,1.000,0.004,0.000
202301.500,189592.800,242242.200,225501.000,172356.000,162862.200,153536.500,158712.600,-0.172,0.963,-0.221,-2.014,1.373,-0.427,73.333,43.000,1.000,1.894,0.000
201853.300,189197.300,241465.200,224850.900,171988.800,162526.600,153216.200,158375.000,-0.170,0.960,-0.219,-2.289,1.099,-0.336,73.333,44.000,1.000,6.329,0.000
201442.100,188811.600,240726.300,224243.500,171627.600,162196.600,152899.700,158045.900,-0.169,0.961,-0.222,-2.289,0.824,-0.366,73.333,45.000,1.000,6.181,0.000
201080.700,188452.900,240039.100,223681.900,171298.700,161888.000,152605.000,157747.500,-0.168,0.958,-0.227,-2.502,0.549,-0.275,73.333,46.000,1.000,6.264,0.000
200746.700,188127.500,239401.000,223159.700,171016.800,161622.100,152345.300,157477.500,-0.167,0.958,-0.227,-2.594,0.336,-0.244,73.333,47.000,1.000,4.385,0.000
200403.000,187815.800,238782.500,222642.100,170745.900,161366.500,152100.500,157217.400,-0.163,0.960,-0.223,-2.655,0.153,-0.214,73.333,48.000,1.000,0.010,0.000
200066.200,187520.900,238189.100,222139.600,170476.700,161122.400,151865.900,156968.200,-0.159,0.960,-0.225,-2.777,0.153,-0.031,73.333,49.000,1.000,8.185,0.000
199757.700,187234.500,237621.700,221665.300,170205.700,160877.800,151629.400,156719.800,-0.157,0.959,-0.226,-2.869,0.031,0.031,73.333,50.000,1.000,3.083,0.000
199501.100,186975.900,237102.700,221244.200,169963.700,160650.000,151412.900,156497.400,-0.155,0.960,-0.229,-3.021,0.000,0.000,73.333,51.000,1.000,0.008,0.000
199253.400,186730.200,236605.600,220841.300,169747.700,160435.700,151206.600,156291.700,-0.156,0.963,-0.229,-3.113,-0.092,0.000,73.333,52.000,1.000,1.871,0.000
198971.900,186474.000,236109.000,220427.900,169532.500,160227.700,151014.900,156088.400,-0.153,0.966,-0.227,-3.235,0.061,-0.061,73.333,53.000,1.000,8.760,0.000
198698.900,186241.500,235636.500,220025.700,169320.600,160031.600,150838.600,155888.600,-0.152,0.967,-0.227,-3.387,0.031,-0.092,73.333,54.000,1.000,5.548,0.000
198478.000,186041.300,235207.700,219669.700,169127.300,159851.500,150672.100,155712.900,-0.153,0.968,-0.222,-3.693,0.092,-0.244,73.333,55.000,1.000,0.009,0.000
