EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
52950.970,49594.930,88235.270,74775.100,45161.080,42606.670,40151.380,41441.520,-0.149,0.916,-0.186,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
180541.200,169097.100,296954.000,252340.700,153973.800,145271.900,136905.500,141308.400,-0.144,0.937,-0.202,0.000,0.000,0.000,73.333,2.000,1.000,21.862,0.000
277237.700,259668.100,445849.500,380715.900,236427.000,223088.200,210252.800,217024.100,-0.139,0.942,-0.210,0.000,0.000,0.000,73.333,3.000,1.000,2.478,0.000
297655.900,278812.000,463681.900,398818.300,253824.600,239547.800,225780.600,233068.000,-0.141,0.944,-0.214,-4.913,3.021,-3.021,73.333,4.000,1.000,2.526,0.000
295993.200,277285.300,447132.400,387461.800,252391.000,238248.400,224565.300,231833.800,-0.141,0.946,-0.216,-3.326,1.404,-1.984,73.333,5.000,1.000,3.701,0.000
283263.100,265380.600,415233.500,362604.200,241505.300,228026.100,214935.800,221917.800,-0.142,0.950,-0.214,-2.625,1.190,-1.495,73.333,6.000,1.000,3.715,0.000
252136.000,236223.300,355630.000,313759.100,214920.100,202975.400,191327.600,197576.200,-0.145,0.955,-0.209,-1.953,1.404,-1.251,73.333,7.000,1.000,14.391,0.000
233972.000,219200.900,321157.000,285570.100,199403.100,188349.000,177535.800,183365.300,-0.148,0.957,-0.210,-1.709,1.678,-1.099,73.333,8.000,1.000,0.016,0.000
242490.700,227182.500,332873.600,296175.900,206662.900,195206.600,183988.400,190041.500,-0.150,0.959,-0.213,-1.373,2.014,-0.946,73.333,9.000,1.000,1.862,0.000
258256.800,241965.500,356094.100,316589.400,220108.600,207906.900,195951.700,202398.600,-0.154,0.960,-0.214,-1.190,2.289,-0.977,73.333,10.000,1.000,2.546,0.000
256859.600,240670.700,349845.300,312163.700,218907.500,206788.700,194899.100,201324.300,-0.156,0.961,-0.213,-1.221,2.502,-0.885,73.333,11.000,1.000,2.431,0.000
232513.500,217867.500,306004.300,275763.700,198129.700,187190.000,176436.400,182284.100,-0.157,0.962,-0.211,-1.068,2.899,-0.793,73.333,12.000,1.000,2.527,0.000
216858.000,203198.500,278821.300,253086.900,184774.500,174583.400,164563.900,170039.800,-0.160,0.964,-0.214,-0.946,3.052,-0.763,73.333,13.000,1.000,14.315,0.000
223319.200,209250.600,289496.100,262284.400,190293.900,179781.000,169468.300,175102.600,-0.161,0.966,-0.216,-0.824,3.174,-0.763,73.333,14.000,1.000,0.019,0.000
236169.900,221294.800,310010.200,279931.200,201263.200,190122.400,179220.100,185166.500,-0.165,0.969,-0.213,-0.793,3.235,-0.702,73.333,15.000,1.000,1.873,0.000
235636.700,220804.400,307225.300,277998.700,200808.000,189691.100,178818.500,184755.000,-0.164,0.969,-0.213,-0.854,3.357,-0.732,73.333,16.000,1.000,2.527,0.000
217049.700,203398.800,274632.800,250759.600,184947.600,174731.400,164722.000,170211.200,-0.164,0.970,-0.210,-0.977,3.326,-0.702,73.333,17.000,1.000,8.705,0.000
204902.100,192019.200,254298.000,233633.600,174581.400,164955.000,155509.500,160705.800,-0.167,0.972,-0.214,-1.038,3.387,-0.610,73.333,18.000,1.000,2.572,0.000
209647.600,196462.200,262767.700,240783.600,178627.000,168772.000,159109.500,164421.700,-0.168,0.971,-0.212,-1.068,3.357,-0.549,73.333,19.000,1.000,3.086,0.000
219347.000,205546.400,278776.500,254430.500,186897.000,176575.000,166466.000,172015.500,-0.170,0.971,-0.212,-1.190,3.510,-0.458,73.333,20.000,1.000,0.013,0.000
219043.400,205262.500,277276.900,253379.300,186633.400,176331.600,166235.300,171780.500,-0.170,0.969,-0.214,-1.221,3.510,-0.488,73.333,21.000,1.000,1.893,0.000
205220.600,192320.000,253387.800,233330.300,174840.300,165212.300,155749.200,160963.200,-0.169,0.965,-0.213,-1.343,3.571,-0.488,73.333,22.000,1.000,8.671,0.000
195997.800,183686.900,238252.300,220508.900,166972.600,157791.500,148744.600,153744.000,-0.165,0.963,-0.216,-1.556,3.510,-0.427,73.333,23.000,1.000,4.439,0.000
199119.700,186612.000,244145.100,225418.200,169634.900,160301.300,151100.800,156186.600,-0.163,0.960,-0.218,-1.495,3.693,-0.336,73.333,24.000,1.000,0.020,0.000
205925.000,192985.300,255633.000,235151.900,175442.100,165779.400,156260.600,161517.300,-0.162,0.958,-0.219,-1.526,3.754,-0.183,73.333,25.000,1.000,26.213,0.000
205634.500,192713.300,254661.500,234435.300,175200.500,165553.300,156047.500,161297.500,-0.161,0.959,-0.220,-1.404,3.876,0.000,73.333,26.000,1.000,0.022,0.000
195737.100,183445.400,237742.200,220195.900,166764.400,157598.800,148549.000,153554.700,-0.162,0.958,-0.219,-1.221,4.120,0.000,73.333,27.000,1.000,1.821,0.000
188934.100,177076.300,226716.800,210820.800,160964.000,152132.400,143392.400,148227.100,-0.163,0.961,-0.218,-1.099,4.089,0.092,73.333,28.000,1.000,5.023,0.000
190650.400,178682.700,230202.300,213680.700,162426.200,153514.600,144689.400,149563.400,-0.164,0.961,-0.219,-1.038,4.089,0.244,73.333,29.000,1.000,2.507,0.000
