EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,25475.440,118972.500,136578.600,136578.600,136578.600,136578.600,-0.142,0.961,-0.154,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
469382.100,469382.100,97399.690,391127.200,417498.300,452046.200,469382.100,469382.100,-0.140,0.972,-0.164,0.000,0.000,0.000,73.333,2.000,1.000,13.104,0.000
691089.500,731059.300,198368.700,589284.700,445878.700,606975.700,731059.300,712188.100,-0.138,0.969,-0.170,0.000,0.000,0.000,73.333,3.000,1.000,9.947,0.000
653010.400,801568.300,346307.200,661015.000,132325.500,474008.200,801568.300,728422.000,-0.141,0.976,-0.169,0.000,0.000,0.000,73.333,4.000,1.000,4.990,0.000
566445.400,795616.100,516953.900,727690.800,-169910.900,330454.900,814894.100,697511.500,-0.137,0.977,-0.176,-4.883,5.768,-5.859,73.333,5.000,1.000,2.479,0.000
497914.900,681407.300,601538.200,765540.600,-418382.900,302164.800,797996.100,696271.400,-0.138,0.983,-0.176,-5.402,5.615,-4.486,73.333,6.000,1.000,5.013,0.000
383534.100,422207.400,613977.600,736882.000,-706592.100,328930.200,731418.800,678713.300,-0.142,0.988,-0.176,-3.967,3.479,-2.014,73.333,7.000,1.000,2.517,0.000
384269.700,279228.300,656438.700,718697.600,-672850.500,414067.300,695083.400,680692.400,-0.141,0.986,-0.175,-3.754,2.533,-1.312,73.333,8.000,1.000,2.458,0.000
587485.500,436626.800,713733.100,743122.300,-90235.120,578299.300,725707.700,735099.300,-0.148,0.989,-0.169,-3.662,2.045,-1.038,73.333,9.000,1.000,2.526,0.000
776447.100,674907.700,736189.000,771805.700,560027.900,755090.900,775234.200,795034.600,-0.147,0.985,-0.170,-3.937,1.678,-1.099,73.333,10.000,1.000,7.501,0.000
810622.300,777549.900,748394.800,765393.800,831715.800,808979.300,781121.700,791855.200,-0.148,0.981,-0.169,-4.059,1.526,-1.160,73.333,11.000,1.000,2.514,0.000
754164.100,776695.900,762142.800,722290.300,838175.600,728093.800,727119.200,719792.400,-0.147,0.979,-0.172,-4.150,1.190,-1.099,73.333,12.000,1.000,3.052,0.000
711953.800,760310.800,758557.100,706935.800,811995.400,682257.100,693304.600,680145.700,-0.141,0.974,-0.174,-4.395,0.977,-1.312,73.333,13.000,1.000,0.011,0.000
714149.600,730810.500,735112.200,729323.000,768323.300,731571.600,706235.100,712958.100,-0.145,0.974,-0.173,-4.150,0.702,-1.251,73.333,14.000,1.000,1.914,0.000
743222.600,710375.300,716632.800,752734.600,701157.600,764370.300,703582.700,738785.300,-0.142,0.966,-0.172,-4.242,0.366,-1.251,73.333,15.000,1.000,13.744,0.000
745198.200,700259.900,725934.200,747141.200,646979.900,686874.900,628245.100,668438.100,-0.140,0.959,-0.172,-4.303,0.214,-1.190,73.333,16.000,1.000,7.494,0.000
674305.400,651104.400,743604.300,712986.800,601422.500,527332.800,493859.100,518283.600,-0.139,0.955,-0.174,-4.059,0.122,-1.160,73.333,17.000,1.000,0.015,0.000
571808.200,568002.400,743002.400,700353.300,548086.200,412991.000,384974.200,400194.300,-0.130,0.950,-0.178,-3.998,0.061,-1.160,73.333,18.000,1.000,0.007,0.000
485736.300,462950.700,723563.600,716671.400,447902.700,379755.400,333119.300,353726.100,-0.128,0.955,-0.181,-3.510,0.244,-0.977,73.333,19.000,1.000,2.337,0.000
428199.800,370436.100,707728.300,733779.000,334340.200,360140.800,311526.600,336515.400,-0.128,0.962,-0.179,-3.174,0.366,-0.763,73.333,20.000,1.000,8.900,0.000
377863.400,320760.800,714057.900,729120.300,284276.400,313228.700,283039.000,301603.500,-0.129,0.962,-0.177,-2.960,0.458,-0.641,73.333,21.000,1.000,2.481,0.000
