EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,135787.000,657611.900,750000.100,750000.100,750000.100,750000.100,-0.087,0.915,-0.271,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
750000.100,750000.100,184832.200,558846.300,498167.800,679397.500,750000.100,750000.100,-0.077,0.924,-0.284,0.000,0.000,0.000,73.333,2.000,1.000,15.432,0.000
541890.400,750000.100,375187.600,631383.600,-133535.300,303712.900,750000.100,675004.300,-0.083,0.937,-0.289,0.000,0.000,0.000,73.333,3.000,1.000,2.436,0.000
476237.800,750000.100,635421.100,713484.000,-316634.000,205862.200,750000.100,606698.300,-0.087,0.953,-0.284,0.000,0.000,0.000,73.333,4.000,1.000,2.495,0.000
496728.000,698947.400,571752.400,750000.100,-460867.800,258993.900,750000.100,671572.500,-0.089,0.958,-0.283,-5.737,5.402,-7.690,73.333,5.000,1.000,2.685,0.000
392240.500,392089.800,606125.800,750000.100,-750000.100,423103.200,750000.100,741762.900,-0.094,0.947,-0.287,-5.676,6.317,-5.737,73.333,6.000,1.000,2.333,0.000
396861.000,183869.700,689278.600,750000.100,-750000.100,521437.300,750000.100,750000.100,-0.097,0.940,-0.292,-3.204,4.425,-1.617,73.333,7.000,1.000,8.699,0.000
750000.100,605152.800,750000.100,750000.100,214207.900,551301.700,750000.100,750000.100,-0.102,0.950,-0.296,-1.953,3.845,-0.336,73.333,8.000,1.000,4.416,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.103,0.966,-0.296,-1.587,3.510,-0.092,73.333,9.000,1.000,0.024,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.103,0.980,-0.294,-1.801,3.326,-0.214,73.333,10.000,1.000,10.503,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.102,0.988,-0.291,-2.197,3.113,-0.641,73.333,11.000,1.000,2.514,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.103,0.986,-0.283,-2.777,2.960,-0.793,73.333,12.000,1.000,3.199,0.000
