EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,24727.470,119754.300,136578.600,136578.600,136578.600,136578.600,-0.087,0.915,-0.271,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
469382.100,469382.100,93912.700,393576.000,423522.300,456525.100,469382.100,469382.100,-0.077,0.924,-0.284,0.000,0.000,0.000,73.333,2.000,1.000,15.432,0.000
693161.500,731059.300,197717.000,592402.000,458415.800,618459.300,731059.300,717402.200,-0.083,0.937,-0.289,0.000,0.000,0.000,73.333,3.000,1.000,2.436,0.000
659368.600,801568.300,359452.300,666904.200,127405.900,479810.100,801568.300,742193.800,-0.087,0.953,-0.284,0.000,0.000,0.000,73.333,4.000,1.000,2.495,0.000
574683.300,805597.100,536772.400,737692.600,-210860.100,321676.500,814894.100,710857.300,-0.089,0.958,-0.283,-5.737,5.402,-7.690,73.333,5.000,1.000,2.685,0.000
505378.600,710164.800,621283.700,772789.300,-472158.300,287526.400,797996.100,704645.800,-0.094,0.947,-0.287,-5.676,6.317,-5.737,73.333,6.000,1.000,2.333,0.000
390557.000,451692.800,644153.300,738386.300,-740121.600,315932.100,731418.800,685595.400,-0.097,0.940,-0.292,-3.204,4.425,-1.617,73.333,7.000,1.000,8.699,0.000
389573.000,287816.900,687519.000,718551.700,-681974.300,403916.300,695083.400,683979.900,-0.102,0.950,-0.296,-1.953,3.845,-0.336,73.333,8.000,1.000,4.416,0.000
589004.600,429353.900,725983.300,742548.300,-83266.570,573632.300,725707.700,733425.800,-0.103,0.966,-0.296,-1.587,3.510,-0.092,73.333,9.000,1.000,0.024,0.000
775768.800,666264.500,735678.100,770316.200,575113.600,756716.000,775234.200,793209.100,-0.103,0.980,-0.294,-1.801,3.326,-0.214,73.333,10.000,1.000,10.503,0.000
810156.000,770041.300,747211.300,764699.300,844352.400,812808.900,781121.700,792149.600,-0.102,0.988,-0.291,-2.197,3.113,-0.641,73.333,11.000,1.000,2.514,0.000
754183.300,771545.900,760253.900,722946.900,839338.400,729301.400,727119.200,720846.300,-0.103,0.986,-0.283,-2.777,2.960,-0.793,73.333,12.000,1.000,3.199,0.000
711931.800,762078.400,756264.800,707891.200,802520.500,679507.100,693304.600,680449.600,-0.107,0.975,-0.283,-3.632,2.777,-0.854,73.333,13.000,1.000,0.026,0.000
713791.300,737479.900,734131.100,729357.900,760802.900,729165.900,705111.500,710711.100,-0.111,0.961,-0.288,-4.395,2.594,-0.671,73.333,14.000,1.000,24.309,0.000
742921.800,713521.400,717468.100,751496.700,703915.100,765509.200,699703.900,734594.300,-0.117,0.951,-0.294,-4.700,2.289,-0.763,73.333,15.000,1.000,2.526,0.000
745648.900,695893.900,727520.800,746447.400,652224.600,689182.900,622303.600,663899.600,-0.121,0.947,-0.294,-4.730,1.831,-0.916,73.333,16.000,1.000,2.474,0.000
675837.600,645949.700,742694.800,713445.800,597357.900,527526.900,487780.800,514000.300,-0.121,0.946,-0.295,-4.608,1.404,-1.282,73.333,17.000,1.000,2.524,0.000
573720.300,568880.900,740799.100,701097.400,534892.100,410181.300,379480.000,395780.100,-0.119,0.949,-0.294,-4.425,1.038,-1.678,73.333,18.000,1.000,2.405,0.000
487180.300,468347.900,722479.400,716695.400,436063.100,377158.900,328385.800,348666.600,-0.117,0.954,-0.288,-4.425,0.641,-1.984,73.333,19.000,1.000,2.579,0.000
429291.300,372878.600,708309.400,732800.400,332157.000,360233.300,307774.600,332471.300,-0.115,0.953,-0.285,-4.486,0.244,-1.984,73.333,20.000,1.000,2.500,0.000
378043.900,316084.000,715261.300,728551.700,287154.000,313901.800,279386.800,298577.200,-0.112,0.946,-0.281,-4.669,0.031,-2.014,73.333,21.000,1.000,2.500,0.000
