EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
750000.100,750000.100,152284.300,665148.500,750000.100,750000.100,750000.100,750000.100,-0.126,0.900,-0.330,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
750000.100,750000.100,192386.100,567811.500,519392.300,700099.700,750000.100,750000.100,-0.122,0.913,-0.341,0.000,0.000,0.000,73.333,2.000,1.000,19.398,0.000
558057.800,750000.100,392144.700,640545.900,-160479.300,322286.900,750000.100,692725.600,-0.122,0.920,-0.342,0.000,0.000,0.000,73.333,3.000,1.000,2.396,0.000
482582.700,750000.100,634825.300,733141.200,-360613.200,198803.800,750000.100,625960.000,-0.122,0.924,-0.342,0.000,0.000,0.000,73.333,4.000,1.000,2.505,0.000
504840.500,729317.000,587628.400,750000.100,-517263.000,263431.100,750000.100,677032.400,-0.122,0.926,-0.346,-5.768,5.310,-7.721,73.333,5.000,1.000,2.438,0.000
405291.800,421937.000,657026.500,750000.100,-750000.100,423425.300,750000.100,731831.400,-0.125,0.928,-0.352,-5.829,4.974,-6.195,73.333,6.000,1.000,3.772,0.000
400891.600,184859.800,723272.800,750000.100,-750000.100,549088.300,750000.100,750000.100,-0.124,0.929,-0.352,-3.387,2.563,-2.350,73.333,7.000,1.000,8.852,0.000
750000.100,578198.400,750000.100,750000.100,208852.600,557967.400,750000.100,750000.100,-0.124,0.933,-0.356,-2.502,1.587,-0.824,73.333,8.000,1.000,3.026,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.125,0.935,-0.356,-2.289,1.282,-0.427,73.333,9.000,1.000,0.011,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.125,0.938,-0.352,-2.289,1.007,-0.275,73.333,10.000,1.000,5.597,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.125,0.939,-0.352,-2.411,0.763,-0.183,73.333,11.000,1.000,9.439,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.124,0.940,-0.354,-2.594,0.763,-0.305,73.333,12.000,1.000,0.013,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,-0.121,0.941,-0.355,-2.655,0.641,-0.366,73.333,13.000,1.000,1.833,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,691844.900,738834.700,-0.118,0.941,-0.353,-2.869,0.580,-0.427,73.333,14.000,1.000,3.707,0.000
750000.100,750000.100,750000.100,750000.100,663528.600,640131.800,584239.100,623351.800,-0.116,0.940,-0.359,-3.113,0.610,-0.305,73.333,15.000,1.000,7.558,0.000
693354.600,644686.600,750000.100,750000.100,567600.800,547388.000,500105.100,533081.200,-0.116,0.940,-0.358,-3.235,0.580,-0.397,73.333,16.000,1.000,9.376,0.000
597799.100,555757.800,750000.100,750000.100,489441.000,471897.300,431557.500,459542.800,-0.118,0.938,-0.355,-3.387,0.702,-0.458,73.333,17.000,1.000,0.021,0.000
518327.500,481700.300,750000.100,750000.100,424336.300,409071.000,374511.500,398354.800,-0.116,0.938,-0.356,-3.387,0.793,-0.397,73.333,18.000,1.000,2.456,0.000
451769.400,419696.300,750000.100,750000.100,370004.300,356534.600,326758.500,347349.800,-0.116,0.936,-0.356,-3.601,0.885,-0.397,73.333,19.000,1.000,0.010,0.000
396171.700,368062.900,750000.100,750000.100,324654.800,312845.000,286741.300,304687.700,-0.113,0.935,-0.356,-3.754,0.946,-0.244,73.333,20.000,1.000,8.116,0.000
357093.400,331838.800,750000.100,750000.100,292747.200,282129.400,258593.200,274695.400,-0.113,0.932,-0.356,-3.845,1.068,-0.275,73.333,21.000,1.000,2.489,0.000
341680.300,317460.300,750000.100,750000.100,280080.300,269959.300,247457.400,262750.300,-0.114,0.927,-0.358,-3.906,1.160,-0.275,73.333,22.000,1.000,2.453,0.000
332342.700,308802.200,750000.100,750000.100,272376.100,262540.800,240692.400,255467.000,-0.119,0.925,-0.353,-3.937,1.282,-0.153,73.333,23.000,1.000,3.780,0.000
323785.500,300803.300,750000.100,750000.100,265392.400,255773.500,234534.000,248914.000,-0.121,0.928,-0.358,-3.784,1.251,-0.153,73.333,24.000,1.000,10.617,0.000
315921.100,293480.400,750000.100,750000.100,259026.800,249624.900,228908.600,242930.500,-0.123,0.927,-0.357,-3.723,1.282,-0.214,73.333,25.000,1.000,0.019,0.000
308593.800,286691.000,750000.100,750000.100,253083.300,243881.300,223647.500,237324.900,-0.123,0.926,-0.354,-3.754,1.160,-0.275,73.333,26.000,1.000,1.964,0.000
301823.900,280453.100,750000.100,750000.100,247479.300,238514.800,218693.800,232038.500,-0.121,0.924,-0.355,-3.632,1.221,-0.366,73.333,27.000,1.000,2.434,0.000
295521.300,274620.900,750000.100,750000.100,242258.600,233530.700,214079.600,227131.400,-0.119,0.921,-0.355,-3.418,1.160,-0.458,73.333,28.000,1.000,13.787,0.000
289683.400,269112.200,750000.100,750000.100,237494.700,228935.100,209859.300,222666.600,-0.120,0.922,-0.353,-3.265,1.251,-0.336,73.333,29.000,1.000,3.178,0.000
284281.100,264114.200,750000.100,750000.100,233151.400,224706.200,205990.500,218579.900,-0.117,0.921,-0.352,-3.082,1.373,-0.214,73.333,30.000,1.000,0.015,0.000
279192.200,259457.800,750000.100,750000.100,229032.700,220745.100,202337.800,214690.100,-0.120,0.925,-0.348,-2.899,1.373,-0.183,73.333,31.000,1.000,1.794,0.000
274399.700,254979.700,750000.100,750000.100,225060.100,216959.800,198848.500,210956.800,-0.122,0.927,-0.348,-2.777,1.526,-0.031,73.333,32.000,1.000,2.475,0.000
269938.100,250784.000,750000.100,750000.100,221338.700,213409.500,195567.800,207475.300,-0.120,0.926,-0.347,-2.747,1.556,0.122,73.333,33.000,1.000,2.500,0.000
265792.700,246921.600,750000.100,750000.100,217957.800,210139.600,192563.300,204303.000,-0.118,0.923,-0.343,-2.747,1.678,0.275,73.333,34.000,1.000,8.693,0.000
261935.000,243355.200,750000.100,750000.100,214870.900,207123.600,189808.000,201391.400,-0.118,0.923,-0.344,-2.716,1.678,0.397,73.333,35.000,1.000,3.164,0.000
258276.100,239981.700,750000.100,750000.100,211911.400,204260.600,187179.200,198595.200,-0.118,0.924,-0.345,-2.594,1.831,0.519,73.333,36.000,1.000,0.014,0.000
254795.100,236776.300,750000.100,750000.100,209024.200,201510.000,184639.000,195879.600,-0.120,0.927,-0.347,-2.472,1.892,0.610,73.333,37.000,1.000,1.884,0.000
251513.500,233680.300,750000.100,750000.100,206278.100,198893.300,182226.100,193308.600,-0.121,0.928,-0.345,-2.380,1.984,0.610,73.333,38.000,1.000,8.676,0.000
248473.100,230863.400,750000.100,750000.100,203802.200,196495.900,180027.700,190987.800,-0.120,0.933,-0.344,-2.289,1.953,0.580,73.333,39.000,1.000,3.806,0.000
245626.500,228235.100,750000.100,750000.100,201542.700,194283.700,178007.300,188853.400,-0.121,0.936,-0.347,-2.319,2.014,0.580,73.333,40.000,1.000,6.936,0.000
242892.000,225681.800,750000.100,750000.100,199334.000,192130.200,176054.300,186773.600,-0.121,0.937,-0.349,-2.380,1.984,0.702,73.333,41.000,1.000,0.007,0.000
240256.300,223210.900,750000.100,750000.100,197144.300,190057.300,174140.600,184717.200,-0.122,0.939,-0.352,-2.411,2.045,0.763,73.333,42.000,1.000,8.073,0.000
237808.100,220953.100,750000.100,750000.100,195077.600,188090.000,172325.900,182788.900,-0.122,0.939,-0.354,-2.563,2.106,0.702,73.333,43.000,1.000,6.894,0.000
235521.100,218840.000,750000.100,749741.600,193214.200,186283.700,170666.700,181042.100,-0.121,0.938,-0.353,-2.563,2.228,0.702,73.333,44.000,1.000,0.010,0.000
233356.100,216804.600,750000.100,742278.600,191496.100,184594.500,169135.800,179430.200,-0.121,0.936,-0.347,-2.563,2.197,0.488,73.333,45.000,1.000,1.838,0.000
231272.700,214877.000,750000.100,735147.700,189819.000,182973.100,167656.500,177854.700,-0.119,0.934,-0.349,-2.625,2.411,0.397,73.333,46.000,1.000,3.707,0.000
229291.000,213056.100,750000.100,728301.800,188146.500,181391.700,166198.500,176288.100,-0.117,0.935,-0.352,-2.594,2.319,0.458,73.333,47.000,1.000,3.738,0.000
227407.600,211292.000,750000.100,721815.300,186555.000,179889.000,164809.500,174803.300,-0.114,0.933,-0.352,-2.563,2.197,0.275,73.333,48.000,1.000,19.424,0.000
225664.400,209676.700,750000.100,715744.400,185137.600,178519.500,163547.200,173477.300,-0.117,0.933,-0.351,-2.472,2.289,0.122,73.333,49.000,1.000,0.022,0.000
224015.100,208179.500,750000.100,709983.400,183839.800,177229.600,162383.100,172252.300,-0.117,0.929,-0.352,-2.441,2.350,0.000,73.333,50.000,1.000,3.006,0.000
222397.500,206619.500,750000.100,704471.900,182551.900,175982.500,161247.100,171034.000,-0.117,0.926,-0.353,-2.319,2.411,-0.092,73.333,51.000,1.000,0.013,0.000
220850.400,205176.400,750000.100,699144.400,181242.600,174746.200,160107.000,169807.100,-0.119,0.925,-0.351,-2.197,2.380,-0.275,73.333,52.000,1.000,0.006,0.000
219424.300,203899.900,750000.100,694108.100,180013.600,173586.400,159027.900,168658.100,-0.123,0.926,-0.354,-2.045,2.319,-0.427,73.333,53.000,1.000,2.533,0.000
218047.600,202567.300,746420.600,689365.300,178909.100,172511.200,158050.200,167630.000,-0.124,0.926,-0.355,-1.892,2.350,-0.519,73.333,54.000,1.000,3.711,0.000
216763.100,201372.600,741464.500,684871.400,177916.900,171525.100,157155.700,166694.700,-0.125,0.927,-0.355,-1.678,2.289,-0.702,73.333,55.000,1.000,13.107,0.000
215534.500,200263.600,736731.100,680561.800,176942.900,170576.300,156295.500,165771.100,-0.124,0.929,-0.356,-1.678,2.136,-0.732,73.333,56.000,1.000,0.011,0.000
214315.500,199144.800,732156.300,676367.500,175915.600,169616.300,155406.900,164808.600,-0.126,0.930,-0.353,-1.556,1.923,-0.824,73.333,57.000,1.000,2.462,0.000
213185.200,198109.000,727807.200,672390.700,174941.500,168706.100,154556.200,163904.400,-0.127,0.931,-0.355,-1.434,1.770,-0.824,73.333,58.000,1.000,0.011,0.000
212111.500,197095.800,723663.300,668623.900,174071.900,167856.100,153779.500,163090.900,-0.128,0.932,-0.354,-1.404,1.678,-0.946,73.333,59.000,1.000,5.783,0.000
211106.500,196148.500,719734.000,665083.300,173302.500,167088.300,153082.700,162365.300,-0.129,0.930,-0.352,-1.434,1.648,-1.038,73.333,60.000,1.000,11.800,0.000
210130.700,195247.500,715961.100,661656.400,172528.300,166337.100,152396.000,161629.600,-0.130,0.931,-0.354,-1.526,1.465,-1.068,73.333,61.000,1.000,0.013,0.000
209190.700,194386.300,712329.600,658330.700,171716.200,165585.000,151694.100,160866.200,-0.132,0.931,-0.351,-1.465,1.190,-0.885,73.333,62.000,1.000,2.394,0.000
208312.500,193581.000,708874.200,655177.500,170946.200,164865.400,151023.000,160150.800,-0.133,0.932,-0.351,-1.587,1.068,-1.038,73.333,63.000,1.000,0.007,0.000
207473.200,192773.600,705577.000,652196.700,170267.000,164200.200,150418.900,159516.300,-0.134,0.931,-0.353,-1.556,0.824,-1.038,73.333,64.000,1.000,8.179,0.000
206671.200,192013.100,702428.800,649358.300,169661.200,163590.500,149875.000,158946.300,-0.135,0.931,-0.353,-1.587,0.427,-0.946,73.333,65.000,1.000,7.502,0.000
205908.000,191349.200,699419.900,646606.900,169057.300,163004.000,149333.900,158365.100,-0.135,0.930,-0.351,-1.648,0.305,-0.885,73.333,66.000,1.000,0.007,0.000
205134.800,190599.400,696488.500,643935.600,168394.300,162384.900,148764.800,157749.000,-0.136,0.931,-0.350,-1.709,0.031,-0.763,73.333,67.000,1.000,0.003,0.000
204410.400,189928.300,693682.400,641370.600,167760.000,161803.900,148215.600,157162.500,-0.138,0.931,-0.349,-1.831,-0.305,-0.702,73.333,68.000,1.000,3.771,0.000
203764.600,189332.600,691044.700,638987.500,167240.100,161288.900,147745.600,156677.900,-0.139,0.931,-0.348,-1.923,-0.580,-0.610,73.333,69.000,1.000,8.775,0.000
203147.000,188752.400,688528.800,636737.600,166786.100,160811.300,147330.300,156248.400,-0.137,0.931,-0.351,-1.984,-0.885,-0.519,73.333,70.000,1.000,6.818,0.000
202524.100,188183.700,686088.400,634537.100,166304.400,160336.300,146904.300,155789.100,-0.136,0.930,-0.350,-2.167,-1.068,-0.336,73.333,71.000,1.000,0.008,0.000
201905.200,187600.300,683704.300,632353.500,165760.600,159842.000,146440.500,155279.600,-0.137,0.930,-0.348,-2.380,-1.343,-0.244,73.333,72.000,1.000,2.520,0.000
201350.000,187093.400,681441.300,630284.700,165254.100,159380.800,146008.000,154813.400,-0.135,0.928,-0.345,-2.472,-1.617,-0.061,73.333,73.000,1.000,0.019,0.000
200831.200,186600.100,679295.500,628358.200,164838.400,158972.100,145629.800,154424.800,-0.136,0.927,-0.345,-2.594,-1.801,0.031,73.333,74.000,1.000,8.136,0.000
200340.800,186149.500,677254.500,626542.900,164489.500,158603.300,145300.900,154088.800,-0.131,0.924,-0.348,-2.594,-1.953,0.244,73.333,75.000,1.000,9.287,0.000
199850.200,185697.000,675267.900,624740.100,164104.400,158223.400,144958.300,153719.500,-0.129,0.922,-0.349,-2.594,-2.014,0.488,73.333,76.000,1.000,0.006,0.000
199358.700,185221.800,673327.200,622960.300,163663.800,157818.600,144585.600,153313.000,-0.127,0.922,-0.348,-2.655,-2.075,0.732,73.333,77.000,1.000,2.524,0.000
198912.100,184835.600,671482.000,621280.100,163254.400,157444.200,144229.600,152934.500,-0.125,0.919,-0.348,-2.625,-2.014,0.885,73.333,78.000,1.000,0.013,0.000
198486.100,184420.000,669720.500,619697.300,162918.500,157111.200,143926.200,152626.200,-0.121,0.921,-0.347,-2.716,-2.014,1.129,73.333,79.000,1.000,10.570,0.000
198090.700,184046.800,668054.000,618217.600,162649.500,156826.000,143678.500,152372.200,-0.122,0.924,-0.344,-2.625,-1.892,1.251,73.333,80.000,1.000,3.220,0.000
197704.000,183701.900,666439.300,616760.100,162358.700,156538.900,143413.500,152084.900,-0.120,0.925,-0.343,-2.686,-1.831,1.434,73.333,81.000,1.000,0.008,0.000
197317.100,183360.700,664856.100,615317.600,162009.300,156228.700,143117.300,151753.000,-0.118,0.925,-0.347,-2.716,-1.648,1.495,73.333,82.000,1.000,1.813,0.000
196960.400,183043.300,663334.400,613926.600,161663.300,155917.100,142821.600,151436.700,-0.116,0.928,-0.343,-2.838,-1.495,1.526,73.333,83.000,1.000,11.261,0.000
196610.300,182673.100,661875.100,612622.400,161391.500,155653.400,142582.500,151194.300,-0.112,0.930,-0.343,-2.930,-1.343,1.648,73.333,84.000,1.000,2.535,0.000
196298.000,182395.900,660502.200,611396.900,161184.300,155422.800,142385.700,150993.700,-0.112,0.933,-0.348,-3.052,-1.160,1.770,73.333,85.000,1.000,2.507,0.000
195979.000,182103.800,659157.100,610198.000,160944.500,155171.500,142169.700,150761.500,-0.110,0.933,-0.344,-3.174,-0.824,1.801,73.333,86.000,1.000,2.458,0.000
195661.400,181837.100,657834.900,608984.400,160648.200,154911.200,141921.300,150482.800,-0.109,0.938,-0.346,-3.326,-0.427,1.801,73.333,87.000,1.000,3.695,0.000
