EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,27731.700,121126.700,136578.600,136578.600,136578.600,136578.600,-0.126,0.900,-0.330,0.000,0.000,0.000,73.333,1.000,1.000,0.000,0.000
469382.100,469382.100,102608.800,398552.800,427387.300,460295.000,469382.100,469382.100,-0.122,0.913,-0.341,0.000,0.000,0.000,73.333,2.000,1.000,19.398,0.000
696105.700,731059.300,209912.900,600678.200,462927.200,631027.900,731059.300,720629.300,-0.122,0.920,-0.342,0.000,0.000,0.000,73.333,3.000,1.000,2.396,0.000
667698.100,801568.300,371054.800,678386.000,114846.200,493989.800,801568.300,753565.100,-0.122,0.924,-0.342,0.000,0.000,0.000,73.333,4.000,1.000,2.505,0.000
584616.900,811127.600,546318.800,750588.800,-248050.700,327779.200,814894.100,726581.800,-0.122,0.926,-0.346,-5.768,5.310,-7.721,73.333,5.000,1.000,2.438,0.000
515088.800,729076.300,638746.500,780498.600,-514683.500,289205.300,797996.100,713646.400,-0.125,0.928,-0.352,-5.829,4.974,-6.195,73.333,6.000,1.000,3.772,0.000
400796.500,475713.500,677080.100,739526.100,-764889.600,321858.500,731418.800,685219.100,-0.124,0.929,-0.352,-3.387,2.563,-2.350,73.333,7.000,1.000,8.852,0.000
396426.300,296616.700,719993.100,717533.600,-690309.800,415547.800,695083.400,680971.000,-0.124,0.933,-0.356,-2.502,1.587,-0.824,73.333,8.000,1.000,3.026,0.000
590203.900,421084.300,741727.200,741165.500,-84290.530,583854.000,725707.700,730582.100,-0.125,0.935,-0.356,-2.289,1.282,-0.427,73.333,9.000,1.000,0.011,0.000
774850.300,656799.300,740049.900,768991.100,580591.800,762119.100,775234.200,790341.200,-0.125,0.938,-0.352,-2.289,1.007,-0.275,73.333,10.000,1.000,5.597,0.000
809566.200,764156.600,746608.800,764772.200,851287.100,815993.300,781121.700,791679.100,-0.125,0.939,-0.352,-2.411,0.763,-0.183,73.333,11.000,1.000,9.439,0.000
753867.500,766923.800,754167.300,723882.300,838567.100,729654.200,727119.200,723420.100,-0.124,0.940,-0.354,-2.594,0.763,-0.305,73.333,12.000,1.000,0.013,0.000
711818.800,762391.900,750235.400,708275.900,795694.500,675257.000,693304.600,682564.800,-0.121,0.941,-0.355,-2.655,0.641,-0.366,73.333,13.000,1.000,1.833,0.000
713550.300,743048.900,734525.900,728668.200,758192.100,725214.600,704589.900,710736.800,-0.118,0.941,-0.353,-2.869,0.580,-0.427,73.333,14.000,1.000,3.707,0.000
742826.100,717280.800,722691.500,750318.400,708371.800,767083.100,697868.100,735582.900,-0.116,0.940,-0.359,-3.113,0.610,-0.305,73.333,15.000,1.000,7.558,0.000
746753.300,694119.100,730040.000,746339.600,657077.700,694233.200,619365.500,668154.500,-0.116,0.940,-0.358,-3.235,0.580,-0.397,73.333,16.000,1.000,9.376,0.000
679270.900,643357.900,738562.400,714127.400,594920.300,530540.600,484509.600,520329.000,-0.118,0.938,-0.355,-3.387,0.702,-0.458,73.333,17.000,1.000,0.021,0.000
578717.600,571449.800,735582.000,701397.100,527191.900,408293.900,376225.000,400925.400,-0.116,0.938,-0.356,-3.387,0.793,-0.397,73.333,18.000,1.000,2.456,0.000
491860.200,475671.600,722367.900,716143.900,431639.800,374826.900,325407.500,350351.000,-0.116,0.936,-0.356,-3.601,0.885,-0.397,73.333,19.000,1.000,0.010,0.000
433424.600,378345.500,712240.300,731844.100,333771.300,361611.800,305340.700,331830.600,-0.113,0.935,-0.356,-3.754,0.946,-0.244,73.333,20.000,1.000,8.116,0.000
380741.300,315140.800,717193.300,728412.700,289711.800,316496.800,276919.000,298486.300,-0.113,0.932,-0.356,-3.845,1.068,-0.275,73.333,21.000,1.000,2.489,0.000
322941.100,292757.900,723263.700,704032.600,286712.200,241337.900,223174.800,237062.100,-0.114,0.927,-0.358,-3.906,1.160,-0.275,73.333,22.000,1.000,2.453,0.000
289309.300,295336.900,720512.800,693865.800,290177.600,200262.800,184929.900,196288.900,-0.119,0.925,-0.353,-3.937,1.282,-0.153,73.333,23.000,1.000,3.780,0.000
281849.400,279377.300,709941.600,703704.400,261808.200,216273.000,182320.800,197703.900,-0.121,0.928,-0.358,-3.784,1.251,-0.153,73.333,24.000,1.000,10.617,0.000
286755.900,248593.800,701624.800,714258.900,221647.500,239468.300,197549.600,216011.100,-0.123,0.927,-0.357,-3.723,1.282,-0.214,73.333,25.000,1.000,0.019,0.000
284137.200,233472.000,704517.300,711265.300,217640.000,234304.900,202596.500,218834.300,-0.123,0.926,-0.354,-3.754,1.160,-0.275,73.333,26.000,1.000,1.964,0.000
265787.500,239652.800,708378.200,693537.100,237738.900,199420.400,181574.800,193369.800,-0.121,0.924,-0.355,-3.632,1.221,-0.366,73.333,27.000,1.000,2.434,0.000
250517.900,251253.700,705787.800,685575.100,249374.300,176914.200,160335.000,170883.900,-0.119,0.921,-0.355,-3.418,1.160,-0.458,73.333,28.000,1.000,13.787,0.000
243955.500,239170.700,697499.000,691320.300,226690.000,186720.700,157009.300,170448.000,-0.120,0.922,-0.353,-3.265,1.251,-0.336,73.333,29.000,1.000,3.178,0.000
244483.500,213810.800,690762.800,697576.400,193560.900,200494.600,165606.000,180997.400,-0.117,0.921,-0.352,-3.082,1.373,-0.214,73.333,30.000,1.000,0.015,0.000
242120.500,201875.200,691927.100,694917.100,190365.000,197080.200,169294.400,183095.200,-0.120,0.925,-0.348,-2.899,1.373,-0.183,73.333,31.000,1.000,1.794,0.000
230886.900,207789.200,693903.300,682659.700,207617.300,174857.000,156205.300,167098.100,-0.122,0.927,-0.348,-2.777,1.526,-0.031,73.333,32.000,1.000,2.475,0.000
221032.400,217142.800,691431.500,676535.900,217252.000,159687.000,141729.800,151882.800,-0.120,0.926,-0.347,-2.747,1.556,0.122,73.333,33.000,1.000,2.500,0.000
215136.800,207981.000,685051.700,678981.100,199447.900,164321.700,137887.800,149893.800,-0.118,0.923,-0.343,-2.747,1.678,0.275,73.333,34.000,1.000,8.693,0.000
213574.500,188717.100,679649.800,681759.800,173867.000,171580.800,142197.000,155270.300,-0.118,0.923,-0.344,-2.716,1.678,0.397,73.333,35.000,1.000,3.164,0.000
211504.200,179658.200,679411.400,679343.000,171415.700,169574.700,144767.400,156760.800,-0.118,0.924,-0.345,-2.594,1.831,0.519,73.333,36.000,1.000,0.014,0.000
205266.000,184509.000,679831.900,671440.300,185271.700,156923.500,137503.200,147788.200,-0.120,0.927,-0.347,-2.472,1.892,0.610,73.333,37.000,1.000,1.884,0.000
199181.100,191311.100,677442.900,666802.900,192541.400,147248.800,128122.700,138040.500,-0.121,0.928,-0.345,-2.380,1.984,0.610,73.333,38.000,1.000,8.676,0.000
193668.800,184369.100,672610.700,666682.600,178782.300,147702.800,123833.500,134757.900,-0.120,0.933,-0.344,-2.289,1.953,0.580,73.333,39.000,1.000,3.806,0.000
190383.200,170094.300,668301.800,666743.200,159572.600,149749.800,124671.900,135964.200,-0.121,0.936,-0.347,-2.319,2.014,0.580,73.333,40.000,1.000,6.936,0.000
188300.900,163220.400,666965.200,664491.700,157510.700,148583.400,126098.700,136707.800,-0.121,0.937,-0.349,-2.380,1.984,0.702,73.333,41.000,1.000,0.007,0.000
185577.100,166754.400,666144.100,659932.100,167997.300,143072.600,123088.100,132901.500,-0.122,0.939,-0.352,-2.411,2.045,0.763,73.333,42.000,1.000,8.073,0.000
182171.300,171107.800,663808.500,656457.400,172984.500,137547.800,117581.300,127291.500,-0.122,0.939,-0.354,-2.563,2.106,0.702,73.333,43.000,1.000,6.894,0.000
176985.300,165859.200,660189.900,654377.900,162587.200,134865.500,113037.100,123100.000,-0.121,0.938,-0.353,-2.563,2.228,0.702,73.333,44.000,1.000,0.010,0.000
172444.300,155632.000,656748.500,650923.400,148667.400,132961.800,111226.200,121143.900,-0.121,0.936,-0.347,-2.563,2.197,0.488,73.333,45.000,1.000,1.838,0.000
170248.900,150456.000,654586.900,644074.300,146805.800,132261.500,111609.600,121152.900,-0.119,0.934,-0.349,-2.625,2.411,0.397,73.333,46.000,1.000,3.707,0.000
169950.600,152741.900,652811.800,634933.800,154221.500,131909.700,111600.400,121025.700,-0.117,0.935,-0.352,-2.594,2.319,0.458,73.333,47.000,1.000,3.738,0.000
168457.200,155046.700,650506.600,624921.800,157211.300,129478.400,108987.200,118496.900,-0.114,0.933,-0.352,-2.563,2.197,0.275,73.333,48.000,1.000,19.424,0.000
163632.500,151116.100,647804.400,614368.900,149599.000,124638.100,104408.700,113784.900,-0.117,0.933,-0.351,-2.472,2.289,0.122,73.333,49.000,1.000,0.022,0.000
158299.300,144112.600,645028.300,604344.900,140004.300,119952.800,100734.900,109600.600,-0.117,0.929,-0.352,-2.441,2.350,0.000,73.333,50.000,1.000,3.006,0.000
156006.000,140300.400,642278.300,596676.600,138285.800,119505.200,100270.700,108985.100,-0.117,0.926,-0.353,-2.319,2.411,-0.092,73.333,51.000,1.000,0.013,0.000
157289.400,141455.300,639802.400,591310.800,143063.100,122687.800,102274.100,111340.000,-0.119,0.925,-0.351,-2.197,2.380,-0.275,73.333,52.000,1.000,0.006,0.000
157084.000,142042.400,637510.900,584265.400,144387.500,122457.800,101737.500,111008.700,-0.123,0.926,-0.354,-2.045,2.319,-0.427,73.333,53.000,1.000,2.533,0.000
152658.700,139137.100,634817.600,574677.800,139033.900,116273.100,97297.680,106100.800,-0.124,0.926,-0.355,-1.892,2.350,-0.519,73.333,54.000,1.000,3.711,0.000
146933.600,134641.100,630040.100,565182.600,132880.100,109781.700,92424.790,100486.200,-0.125,0.927,-0.355,-1.678,2.289,-0.702,73.333,55.000,1.000,13.107,0.000
144577.500,131866.600,622590.000,558811.300,131268.300,109437.100,91310.220,99381.740,-0.124,0.929,-0.356,-1.678,2.136,-0.732,73.333,56.000,1.000,0.011,0.000
146813.000,132128.700,614630.100,555735.000,133875.600,114866.100,94557.330,103291.000,-0.126,0.930,-0.353,-1.556,1.923,-0.824,73.333,57.000,1.000,2.462,0.000
147438.400,131444.000,607338.300,550344.500,133889.600,116142.400,95455.660,104467.000,-0.127,0.931,-0.355,-1.434,1.770,-0.824,73.333,58.000,1.000,0.011,0.000
143435.800,129320.500,601011.400,541507.200,130328.500,109292.500,91299.420,99627.870,-0.128,0.932,-0.354,-1.404,1.678,-0.946,73.333,59.000,1.000,5.783,0.000
137648.600,126750.200,594909.800,532616.100,126833.500,101805.600,85774.370,93232.790,-0.129,0.930,-0.352,-1.434,1.648,-1.038,73.333,60.000,1.000,11.800,0.000
135288.700,124793.900,587894.300,527230.600,125307.400,101464.200,84184.480,91759.740,-0.130,0.931,-0.354,-1.526,1.465,-1.068,73.333,61.000,1.000,0.013,0.000
137981.600,124300.300,581070.900,525643.700,126173.800,108101.800,88053.030,96469.270,-0.132,0.931,-0.351,-1.465,1.190,-0.885,73.333,62.000,1.000,2.394,0.000
139087.400,122652.400,575072.800,521431.700,125187.500,110302.800,89845.380,98573.790,-0.133,0.932,-0.351,-1.587,1.068,-1.038,73.333,63.000,1.000,0.007,0.000
135549.900,121131.500,570081.900,513357.200,123016.200,103305.300,86069.670,93997.170,-0.134,0.931,-0.353,-1.556,0.824,-1.038,73.333,64.000,1.000,8.179,0.000
129966.500,119983.600,565094.000,505135.500,121519.200,95463.880,80341.160,87346.950,-0.135,0.931,-0.353,-1.587,0.427,-0.946,73.333,65.000,1.000,7.502,0.000
127661.000,118654.300,558773.300,500493.400,120089.700,95082.640,78460.770,85642.350,-0.135,0.930,-0.351,-1.648,0.305,-0.885,73.333,66.000,1.000,0.007,0.000
130461.000,117616.500,552577.800,499800.000,119643.400,102165.100,82518.540,90616.110,-0.136,0.931,-0.350,-1.709,0.031,-0.763,73.333,67.000,1.000,0.003,0.000
131761.000,115300.300,547390.800,496402.300,117942.800,104845.400,84797.400,93213.910,-0.138,0.931,-0.349,-1.831,-0.305,-0.702,73.333,68.000,1.000,3.771,0.000
128651.500,114191.100,543341.000,489054.900,116796.300,98066.940,81443.660,89020.370,-0.139,0.931,-0.348,-1.923,-0.580,-0.610,73.333,69.000,1.000,8.775,0.000
123438.400,114050.800,539194.500,481514.200,116728.900,90341.510,75827.360,82498.800,-0.137,0.931,-0.351,-1.984,-0.885,-0.519,73.333,70.000,1.000,6.818,0.000
121243.400,113198.300,533496.700,477455.200,115413.000,89900.810,73801.600,80685.230,-0.136,0.930,-0.350,-2.167,-1.068,-0.336,73.333,71.000,1.000,0.008,0.000
123918.300,111777.100,527855.600,477256.500,114033.800,96878.650,77741.930,85545.450,-0.137,0.930,-0.348,-2.380,-1.343,-0.244,73.333,72.000,1.000,2.520,0.000
125249.600,109084.600,523302.500,474435.200,111876.600,99724.550,80213.430,88317.880,-0.135,0.928,-0.345,-2.472,-1.617,-0.061,73.333,73.000,1.000,0.019,0.000
122584.400,108312.000,519937.800,467819.300,111471.800,93436.620,77313.550,84587.340,-0.136,0.927,-0.345,-2.594,-1.801,0.031,73.333,74.000,1.000,8.136,0.000
117858.600,108831.100,516404.100,460974.700,112361.800,86159.380,72035.650,78454.780,-0.131,0.924,-0.348,-2.594,-1.953,0.244,73.333,75.000,1.000,9.287,0.000
115795.700,108299.100,511240.500,457341.600,111146.300,85652.800,69965.330,76603.530,-0.129,0.922,-0.349,-2.594,-2.014,0.488,73.333,76.000,1.000,0.006,0.000
