EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
136578.600,136578.600,136578.600,136578.600,136578.600,136578.600,136578.600,136578.600,-0.068,0.884,-0.412,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
469382.100,469382.100,435659.000,469382.100,432951.800,448872.000,469382.100,469382.100,-0.066,0.897,-0.425,0.000,0.000,0.000,66.667,2.000,1.000,15.609,0.000
719978.700,731059.300,562001.900,722491.600,474461.800,598306.500,731059.300,721713.400,-0.069,0.904,-0.429,0.000,0.000,0.000,66.667,3.000,1.000,2.494,0.000
756493.000,801568.300,433257.800,763767.800,106192.300,456711.800,801568.300,754861.600,-0.076,0.906,-0.432,0.000,0.000,0.000,66.667,4.000,1.000,2.466,0.000
733409.400,814894.100,323518.800,745655.700,-307993.000,314182.900,814894.100,724233.900,-0.081,0.905,-0.436,-1.556,3.571,-3.174,66.667,5.000,1.000,2.460,0.000
709099.700,797996.100,307600.500,729871.200,-600956.100,320473.900,797996.100,712142.400,-0.086,0.904,-0.440,11.383,7.904,-1.282,66.667,6.000,1.000,3.702,0.000
667911.100,731418.800,330225.900,692225.100,-648874.300,390397.800,731418.800,690494.900,-0.092,0.902,-0.436,16.418,8.453,0.092,66.667,7.000,1.000,14.492,0.000
668995.700,695083.400,460983.300,682674.100,-193479.300,501857.400,695083.400,686452.600,-0.097,0.894,-0.438,18.219,8.392,0.549,66.667,8.000,1.000,0.019,0.000
727095.100,725707.700,678010.800,729274.800,480692.800,668247.800,725707.700,731816.200,-0.099,0.888,-0.439,18.799,8.148,0.519,66.667,9.000,1.000,1.649,0.000
788116.300,775234.200,820996.700,786899.300,868966.600,808256.600,775234.200,791173.200,-0.099,0.878,-0.440,19.196,7.874,0.641,66.667,10.000,1.000,7.715,0.000
792467.000,781121.700,818743.300,789727.400,935793.800,816488.500,781121.700,792429.800,-0.098,0.872,-0.439,19.440,7.446,0.641,66.667,11.000,1.000,2.428,0.000
727769.300,727119.200,730877.600,724785.000,829773.400,716668.800,727119.200,722203.900,-0.100,0.863,-0.442,19.867,7.019,0.702,66.667,12.000,1.000,2.503,0.000
669272.100,673708.900,685338.800,683155.900,667491.800,659892.800,678559.900,662594.300,-0.098,0.860,-0.445,20.233,6.439,0.580,66.667,13.000,1.000,2.419,0.000
636629.900,628427.100,709411.900,684185.400,566209.100,671666.800,644326.400,629790.600,-0.097,0.862,-0.446,20.660,6.042,0.610,66.667,14.000,1.000,4.370,0.000
591199.700,567476.200,718570.500,657141.800,552775.600,652453.500,590216.100,584233.800,-0.094,0.864,-0.449,20.996,5.402,0.610,66.667,15.000,1.000,0.008,0.000
502935.000,477154.400,640580.700,563086.100,542411.400,545632.500,499099.800,492677.300,-0.090,0.865,-0.449,21.149,4.883,0.671,66.667,16.000,1.000,8.243,0.000
372884.300,356286.000,493456.400,424061.200,437127.700,385457.300,375839.200,358210.700,-0.092,0.867,-0.450,21.332,4.395,0.854,66.667,17.000,1.000,4.311,0.000
274511.700,267698.400,379285.100,318706.000,277550.300,282929.600,284389.700,262527.600,-0.089,0.869,-0.451,21.576,3.937,1.007,66.667,18.000,1.000,0.011,0.000
248780.900,242675.000,335450.600,282173.000,202596.100,275302.900,255201.600,243959.600,-0.087,0.874,-0.454,21.637,3.479,1.190,66.667,19.000,1.000,5.686,0.000
257711.300,245741.800,326042.200,283317.200,237957.500,293967.700,255672.200,257119.700,-0.087,0.877,-0.454,21.576,3.021,1.404,66.667,20.000,1.000,3.670,0.000
243349.800,228814.200,303762.700,268093.000,283572.000,267187.500,238986.000,239545.600,-0.088,0.881,-0.459,21.484,2.686,1.404,66.667,21.000,1.000,14.378,0.000
189247.600,179136.700,251955.900,216767.500,248034.400,194899.400,190504.900,180150.000,-0.088,0.885,-0.459,21.454,2.411,1.404,66.667,22.000,1.000,0.019,0.000
150206.600,146071.000,217337.200,178675.000,160486.000,155606.600,157135.300,141903.800,-0.091,0.891,-0.460,21.271,2.014,1.190,66.667,23.000,1.000,1.899,0.000
159631.800,155501.800,222094.100,183025.600,129535.500,179829.100,164280.800,156179.200,-0.090,0.901,-0.465,21.027,1.709,0.977,66.667,24.000,1.000,2.488,0.000
189790.600,180669.800,243562.700,209420.100,177747.400,218220.100,188305.200,189161.500,-0.086,0.910,-0.468,20.599,1.404,0.763,66.667,25.000,1.000,2.441,0.000
194624.400,182856.000,246196.900,215246.800,227882.200,214995.700,191443.500,191317.900,-0.084,0.912,-0.474,19.928,1.221,0.641,66.667,26.000,1.000,3.798,0.000
160699.000,151804.200,215935.700,184206.800,209170.500,168360.100,161616.000,153318.000,-0.079,0.913,-0.475,19.318,1.099,0.458,66.667,27.000,1.000,11.809,0.000
131533.400,127074.100,190047.400,155791.000,144477.100,138811.300,136610.000,124714.200,-0.075,0.909,-0.478,18.463,0.946,0.336,66.667,28.000,1.000,0.024,0.000
