EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
187324.900,182207.000,210089.300,195760.300,187143.900,195298.600,201347.800,191273.100,-0.180,0.942,-0.116,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
182164.800,177196.100,204186.000,190299.100,181991.300,189923.000,195767.900,185994.900,-0.177,0.968,-0.134,0.000,0.000,0.000,66.667,2.000,1.000,28.027,0.000
177680.400,172841.400,199075.800,185563.800,177514.500,185248.300,190919.600,181425.800,-0.177,0.978,-0.143,-3.540,4.089,-4.150,66.667,3.000,1.000,4.970,0.000
173730.500,169005.200,194586.100,181398.500,173568.400,181120.300,186653.400,177392.700,-0.177,0.976,-0.147,-6.470,9.064,-6.683,66.667,4.000,1.000,4.991,0.000
170210.300,165585.700,190589.100,177685.700,170047.200,177449.700,182847.700,173783.800,-0.178,0.976,-0.146,-3.662,5.951,-2.686,66.667,5.000,1.000,10.049,0.000
167046.600,162511.700,187004.000,174351.900,166884.600,174147.000,179429.000,170553.900,-0.177,0.977,-0.149,-2.563,4.822,-1.343,66.667,6.000,1.000,6.232,0.000
164200.300,159747.100,183783.700,171360.600,164043.100,171178.000,176362.000,167654.500,-0.177,0.978,-0.150,-2.258,4.333,-0.885,66.667,7.000,1.000,6.292,0.000
161615.300,157236.900,180861.100,168644.200,161463.300,168482.300,173584.900,165015.900,-0.181,0.978,-0.147,-2.258,4.059,-0.610,66.667,8.000,1.000,2.456,0.000
159235.700,154923.400,178175.900,166140.800,159086.900,165999.800,171026.000,162585.800,-0.183,0.978,-0.148,-2.472,3.723,-0.488,66.667,9.000,1.000,2.482,0.000
157064.000,152813.000,175728.400,163858.500,156922.000,163745.300,168693.300,160364.600,-0.185,0.979,-0.148,-2.655,3.387,-0.427,66.667,10.000,1.000,5.031,0.000
155089.200,150894.100,173499.500,161784.100,154949.300,161687.900,166566.500,158345.900,-0.186,0.978,-0.148,-2.777,3.204,-0.549,66.667,11.000,1.000,2.536,0.000
153253.500,149110.100,171430.500,159856.300,153115.200,159776.200,164594.700,156471.900,-0.186,0.977,-0.148,-2.991,2.838,-0.458,66.667,12.000,1.000,6.339,0.000
151546.300,147447.700,169507.000,158065.300,151406.000,157995.900,162751.900,154719.900,-0.184,0.974,-0.147,-2.991,2.533,-0.427,66.667,13.000,1.000,4.929,0.000
149968.400,145914.100,167726.700,156411.200,149828.400,156348.800,161055.600,153109.500,-0.185,0.972,-0.146,-3.143,2.197,-0.336,66.667,14.000,1.000,3.068,0.000
148511.400,144498.600,166079.400,154882.200,148371.900,154835.300,159491.700,151621.800,-0.185,0.971,-0.146,-3.082,1.801,-0.214,66.667,15.000,1.000,0.015,0.000
147164.100,143186.500,164558.100,153470.400,147028.400,153429.400,158050.100,150257.500,-0.184,0.969,-0.149,-3.235,1.434,-0.214,66.667,16.000,1.000,1.924,0.000
145895.800,141951.800,163129.800,152144.100,145763.000,152105.600,156686.100,148969.600,-0.184,0.965,-0.149,-3.143,1.221,-0.275,66.667,17.000,1.000,2.505,0.000
144703.500,140794.100,161788.700,150897.400,144575.400,150871.300,155413.600,147753.800,-0.179,0.960,-0.151,-2.991,1.038,-0.275,66.667,18.000,1.000,2.485,0.000
143583.900,139704.700,160528.800,149724.400,143458.200,149700.300,154207.600,146614.400,-0.180,0.955,-0.153,-2.869,0.854,-0.183,66.667,19.000,1.000,3.035,0.000
142524.700,138672.700,159339.600,148617.200,142398.800,148585.400,153060.000,145534.300,-0.176,0.957,-0.152,-2.716,0.885,-0.122,66.667,20.000,1.000,0.012,0.000
141537.200,137712.000,158229.100,147584.700,141410.800,147553.500,151995.100,144517.900,-0.174,0.959,-0.148,-2.319,0.732,-0.092,66.667,21.000,1.000,1.952,0.000
140618.900,136819.600,157194.400,146617.700,140491.000,146598.200,151006.700,143575.200,-0.171,0.963,-0.152,-2.136,0.671,0.000,66.667,22.000,1.000,4.987,0.000
139758.000,135978.300,156222.100,145713.800,139626.500,145695.900,150076.800,142689.300,-0.173,0.968,-0.149,-2.014,0.732,-0.061,66.667,23.000,1.000,6.810,0.000
138948.900,135187.500,155310.500,144865.200,138818.300,144852.500,149210.600,141864.100,-0.170,0.969,-0.152,-2.014,0.702,-0.061,66.667,24.000,1.000,0.013,0.000
138183.200,134444.200,154451.500,144063.200,138055.400,144057.200,148388.900,141087.100,-0.170,0.968,-0.153,-2.106,0.610,0.092,66.667,25.000,1.000,1.891,0.000
137457.800,133739.800,153636.000,143305.400,137332.300,143303.700,147610.100,140347.800,-0.168,0.968,-0.147,-2.136,0.671,0.031,66.667,26.000,1.000,2.442,0.000
136777.800,133079.900,152870.700,142595.300,136654.000,142595.500,146883.500,139651.700,-0.169,0.969,-0.146,-2.045,0.732,0.031,66.667,27.000,1.000,8.885,0.000
136130.000,132453.000,152143.200,141918.800,136008.400,141922.800,146191.700,138989.800,-0.173,0.970,-0.149,-2.075,0.793,-0.153,66.667,28.000,1.000,2.993,0.000
135514.300,131851.900,151449.100,141274.000,135390.000,141274.800,145526.300,138363.600,-0.175,0.975,-0.151,-2.167,0.793,-0.244,66.667,29.000,1.000,0.009,0.000
134936.100,131288.000,150797.100,140666.800,134806.800,140664.500,144892.600,137772.400,-0.174,0.978,-0.150,-2.136,0.763,-0.549,66.667,30.000,1.000,1.948,0.000
134402.800,130772.600,150195.800,140107.500,134276.700,140118.900,144326.600,137232.100,-0.173,0.985,-0.149,-2.228,0.641,-0.549,66.667,31.000,1.000,14.271,0.000
133898.000,130280.200,149624.200,139574.200,133772.700,139599.300,143790.800,136709.400,-0.169,0.987,-0.145,-2.380,0.854,-0.763,66.667,32.000,1.000,0.010,0.000
133411.600,129801.100,149074.800,139063.900,133285.000,139091.000,143277.900,136212.900,-0.167,0.988,-0.145,-2.502,0.824,-0.916,66.667,33.000,1.000,6.943,0.000
132954.000,129351.700,148556.000,138583.400,132823.400,138611.200,142784.500,135741.200,-0.167,0.988,-0.145,-2.808,1.038,-0.793,66.667,34.000,1.000,6.242,0.000
132524.300,128929.400,148066.900,138129.000,132384.300,138147.100,142299.500,135292.800,-0.164,0.985,-0.144,-2.991,1.190,-0.732,66.667,35.000,1.000,2.469,0.000
132111.500,128527.300,147602.800,137700.800,131973.100,137713.400,141855.600,134875.600,-0.164,0.977,-0.144,-3.052,1.404,-0.671,66.667,36.000,1.000,2.520,0.000
131719.500,128147.800,147164.000,137292.500,131583.000,137300.500,141434.800,134478.400,-0.165,0.974,-0.141,-3.052,1.648,-0.610,66.667,37.000,1.000,2.513,0.000
131349.400,127788.800,146750.500,136908.100,131214.200,136916.400,141035.000,134098.500,-0.165,0.969,-0.144,-3.052,1.953,-0.610,66.667,38.000,1.000,2.563,0.000
131002.400,127450.600,146360.800,136545.400,130869.800,136558.300,140667.800,133743.100,-0.169,0.966,-0.146,-2.960,2.167,-0.610,66.667,39.000,1.000,9.290,0.000
130664.200,127124.400,145983.100,136191.100,130534.900,136211.000,140307.800,133401.100,-0.171,0.965,-0.148,-2.808,2.319,-0.488,66.667,40.000,1.000,0.013,0.000
130343.100,126816.500,145626.600,135857.300,130220.500,135881.100,139968.200,133078.900,-0.174,0.966,-0.147,-2.625,2.441,-0.580,66.667,41.000,1.000,13.705,0.000
130046.600,126532.300,145297.800,135551.200,129930.300,135575.700,139659.100,132781.900,-0.173,0.966,-0.147,-2.380,2.655,-0.580,66.667,42.000,1.000,0.016,0.000
129782.800,126275.400,144998.300,135270.300,129663.600,135298.800,139369.800,132503.300,-0.175,0.969,-0.143,-2.167,2.716,-0.366,66.667,43.000,1.000,2.468,0.000
129518.100,126013.700,144693.900,134983.400,129389.900,135014.000,139076.900,132228.000,-0.177,0.972,-0.142,-2.106,2.777,-0.366,66.667,44.000,1.000,0.011,0.000
129264.800,125764.200,144404.300,134709.400,129130.000,134746.900,138801.300,131960.500,-0.177,0.974,-0.146,-2.075,2.716,-0.366,66.667,45.000,1.000,11.230,0.000
129039.100,125540.200,144144.300,134469.500,128900.400,134508.000,138553.800,131723.700,-0.181,0.972,-0.146,-2.045,2.594,-0.336,66.667,46.000,1.000,0.012,0.000
128818.800,125321.300,143892.400,134240.000,128677.800,134269.300,138317.400,131498.900,-0.181,0.971,-0.144,-1.923,2.411,-0.305,66.667,47.000,1.000,6.858,0.000
