EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
34112.760,33180.780,38258.270,35648.900,34079.800,35564.820,36666.390,34831.750,-0.180,0.942,-0.116,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
116296.300,113120.400,130407.900,121520.700,116184.400,121247.300,124995.900,118745.700,-0.177,0.968,-0.134,0.000,0.000,0.000,66.667,2.000,1.000,28.027,0.000
178548.100,173676.400,200158.500,186536.300,178377.800,186150.900,191887.800,182307.200,-0.177,0.978,-0.143,-3.540,4.089,-4.150,66.667,3.000,1.000,4.970,0.000
191649.300,186426.800,214764.500,200175.000,191468.600,199809.700,205941.800,195685.700,-0.177,0.976,-0.147,-6.470,9.064,-6.683,66.667,4.000,1.000,4.991,0.000
190534.200,185348.800,213439.300,198963.200,190355.100,198643.100,204717.100,194546.900,-0.178,0.976,-0.146,-3.662,5.951,-2.686,66.667,5.000,1.000,10.049,0.000
182284.000,177329.500,204127.500,190302.400,182110.900,190037.400,195825.800,186117.300,-0.177,0.977,-0.149,-2.563,4.822,-1.343,66.667,6.000,1.000,6.232,0.000
162170.100,157769.300,181526.300,169252.700,162014.400,169063.900,174187.400,165576.300,-0.177,0.978,-0.150,-2.258,4.333,-0.885,66.667,7.000,1.000,6.292,0.000
150415.100,146338.800,168319.700,156951.900,150270.900,156805.600,161544.200,153576.200,-0.181,0.978,-0.147,-2.258,4.059,-0.610,66.667,8.000,1.000,2.456,0.000
155867.700,151645.100,174421.400,162639.800,155719.500,162488.700,167405.100,159145.800,-0.183,0.978,-0.148,-2.472,3.723,-0.488,66.667,9.000,1.000,2.482,0.000
165997.100,161499.900,185766.500,173212.000,165841.600,173051.000,178294.400,169488.300,-0.185,0.979,-0.148,-2.655,3.387,-0.427,66.667,10.000,1.000,5.031,0.000
165071.800,160601.900,184709.500,172228.700,164920.600,172091.000,177299.300,168542.500,-0.186,0.978,-0.148,-2.777,3.204,-0.549,66.667,11.000,1.000,2.536,0.000
149363.400,145324.900,167075.600,155799.400,149229.800,155718.400,160413.700,152501.900,-0.186,0.977,-0.148,-2.991,2.838,-0.458,66.667,12.000,1.000,6.339,0.000
139252.700,135491.100,155730.300,145226.600,139128.200,145178.900,149545.500,142175.000,-0.184,0.974,-0.147,-2.991,2.533,-0.427,66.667,13.000,1.000,4.929,0.000
143390.700,139515.200,160369.800,149547.900,143259.300,149493.300,153991.300,146394.800,-0.185,0.972,-0.146,-3.143,2.197,-0.336,66.667,14.000,1.000,3.068,0.000
151651.500,147550.200,169626.500,158176.300,151509.600,158106.200,162868.100,154826.400,-0.185,0.971,-0.146,-3.082,1.801,-0.214,66.667,15.000,1.000,0.015,0.000
151298.100,147207.500,169214.700,157800.400,151156.200,157739.100,162489.100,154468.900,-0.184,0.969,-0.149,-3.235,1.434,-0.214,66.667,16.000,1.000,1.924,0.000
139323.300,135559.800,155771.000,145281.000,139194.400,145254.700,149621.500,142249.400,-0.184,0.965,-0.149,-3.143,1.221,-0.275,66.667,17.000,1.000,2.505,0.000
131503.200,127952.400,146997.500,137109.000,131384.000,137102.300,141221.300,134271.700,-0.179,0.960,-0.151,-2.991,1.038,-0.275,66.667,18.000,1.000,2.485,0.000
134561.700,130927.200,150429.600,140307.700,134442.000,140294.000,144514.500,137398.700,-0.180,0.955,-0.153,-2.869,0.854,-0.183,66.667,19.000,1.000,3.035,0.000
140799.900,136994.900,157425.000,146827.000,140676.100,146797.900,151220.500,143771.600,-0.176,0.957,-0.152,-2.716,0.885,-0.122,66.667,20.000,1.000,0.012,0.000
