EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
174844.100,170026.800,194938.100,181699.600,172753.000,183489.800,184721.400,176398.200,-0.168,0.946,-0.146,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
170852.800,166157.000,190385.100,177490.200,168813.500,179294.900,180475.500,172367.300,-0.161,0.969,-0.160,0.000,0.000,0.000,66.667,2.000,1.000,19.421,0.000
167331.500,162736.400,186387.700,173786.800,165339.800,175600.600,176743.400,168817.600,-0.157,0.976,-0.163,-2.167,0.397,-0.275,66.667,3.000,1.000,2.480,0.000
164195.800,159685.500,182836.300,170492.300,162237.300,172303.000,173413.500,165653.100,-0.154,0.979,-0.173,-5.341,-2.838,-0.946,66.667,4.000,1.000,2.441,0.000
161397.000,156962.200,179673.300,167555.900,159467.400,169360.200,170448.600,162828.300,-0.154,0.978,-0.172,-4.730,-3.662,-0.793,66.667,5.000,1.000,3.846,0.000
158888.500,154525.800,176843.500,164928.700,156987.700,166723.500,167789.300,160296.900,-0.150,0.977,-0.169,-4.547,-3.937,-0.580,66.667,6.000,1.000,3.656,0.000
156607.100,152308.200,174273.900,162543.300,154733.800,164329.700,165368.800,157992.600,-0.145,0.972,-0.167,-4.517,-3.845,-0.519,66.667,7.000,1.000,15.041,0.000
154527.500,150288.500,171933.500,160368.300,152677.400,162142.500,163160.900,155890.500,-0.139,0.969,-0.168,-4.608,-3.693,-0.244,66.667,8.000,1.000,3.048,0.000
152615.300,148425.500,169783.700,158366.900,150783.500,160125.800,161136.100,153954.200,-0.133,0.963,-0.169,-4.730,-3.326,0.092,66.667,9.000,1.000,0.012,0.000
150865.900,146720.700,167818.900,156539.600,149054.100,158286.500,159290.300,152194.800,-0.125,0.958,-0.169,-4.608,-3.021,0.305,66.667,10.000,1.000,1.927,0.000
