EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
31839.950,30962.690,35499.150,33088.370,31459.140,33414.370,33638.640,32122.950,-0.168,0.946,-0.146,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
108698.100,105705.300,121171.500,112948.800,107398.800,114071.800,114833.300,109663.500,-0.161,0.969,-0.160,0.000,0.000,0.000,66.667,2.000,1.000,19.421,0.000
167289.400,162688.100,186437.600,173802.100,165292.200,175557.800,176719.500,168774.200,-0.157,0.976,-0.163,-2.167,0.397,-0.275,66.667,3.000,1.000,2.480,0.000
180200.600,175249.000,200755.100,187172.000,178052.100,189104.600,190341.600,181800.000,-0.154,0.979,-0.173,-5.341,-2.838,-0.946,66.667,4.000,1.000,2.441,0.000
179802.300,174863.000,200244.100,186716.000,177658.100,188682.300,189904.900,181398.100,-0.154,0.978,-0.172,-4.730,-3.662,-0.793,66.667,5.000,1.000,3.846,0.000
172668.200,167925.300,192237.300,179268.300,170606.100,181189.700,182354.900,174199.800,-0.150,0.977,-0.169,-4.547,-3.937,-0.580,66.667,6.000,1.000,3.656,0.000
154374.800,150136.500,171803.200,160233.500,152529.000,161987.600,163018.300,155742.800,-0.145,0.972,-0.167,-4.517,-3.845,-0.519,66.667,7.000,1.000,15.041,0.000
143752.700,139807.700,159939.000,149182.000,142032.300,150838.000,151788.200,145024.300,-0.139,0.969,-0.168,-4.608,-3.693,-0.244,66.667,8.000,1.000,3.048,0.000
149116.000,145023.500,165905.400,154747.100,147329.200,156462.600,157447.100,150431.200,-0.133,0.963,-0.169,-4.730,-3.326,0.092,66.667,9.000,1.000,0.012,0.000
158859.200,154497.600,176752.300,164861.200,156953.500,166681.300,167735.400,160257.000,-0.125,0.958,-0.169,-4.608,-3.021,0.305,66.667,10.000,1.000,1.927,0.000
158312.800,153964.800,176123.000,164280.300,156413.000,166102.900,167155.000,159705.300,-0.121,0.956,-0.175,-4.517,-2.472,0.610,66.667,11.000,1.000,2.491,0.000
143939.800,139987.300,160081.400,149332.900,142213.100,151017.600,151968.600,145205.100,-0.120,0.951,-0.179,-4.242,-1.923,0.702,66.667,12.000,1.000,3.746,0.000
134704.500,131007.100,149779.300,139729.600,133089.600,141326.300,142212.400,135885.800,-0.121,0.951,-0.182,-3.906,-1.373,0.916,66.667,13.000,1.000,6.266,0.000
138720.600,134913.000,154256.600,143900.700,137057.700,145541.800,146455.600,139935.200,-0.123,0.948,-0.184,-3.540,-0.977,1.099,66.667,14.000,1.000,4.410,0.000
146598.300,142574.600,163035.100,152085.300,144841.800,153811.100,154778.400,147883.500,-0.124,0.946,-0.186,-3.235,-0.641,1.190,66.667,15.000,1.000,0.010,0.000
146453.700,142437.300,162865.800,151931.700,144701.700,153664.600,154628.300,147740.600,-0.125,0.941,-0.191,-2.594,-0.275,1.038,66.667,16.000,1.000,3.038,0.000
135442.400,131733.000,150582.300,140484.900,133824.800,142115.000,142999.100,136634.000,-0.125,0.937,-0.194,-2.228,0.092,1.068,66.667,17.000,1.000,13.759,0.000
128257.700,124746.900,142570.500,133017.800,126726.300,134578.800,135412.700,129387.100,-0.128,0.939,-0.195,-1.526,0.427,0.977,66.667,18.000,1.000,3.124,0.000
131207.400,127614.900,145859.000,136082.600,129639.800,137677.000,138532.300,132364.000,-0.130,0.940,-0.203,-0.854,0.641,0.854,66.667,19.000,1.000,0.010,0.000
137150.500,133396.900,152482.500,142256.000,135513.000,143918.300,144813.900,138360.700,-0.134,0.944,-0.203,-0.244,0.854,0.671,66.667,20.000,1.000,5.640,0.000
137098.000,133349.300,152418.700,142198.400,135463.400,143866.300,144759.600,138307.200,-0.135,0.949,-0.207,0.275,1.068,0.427,66.667,21.000,1.000,2.497,0.000
128904.200,125381.700,143278.700,133681.800,127367.800,135267.800,136101.600,130037.900,-0.136,0.949,-0.209,0.732,1.099,0.061,66.667,22.000,1.000,2.503,0.000
123434.800,120060.900,137180.800,127999.300,121961.700,129526.500,130321.300,124517.900,-0.136,0.950,-0.212,1.312,1.221,-0.275,66.667,23.000,1.000,3.748,0.000
125369.200,121940.500,139339.500,130012.200,123871.000,131554.300,132364.900,126470.400,-0.136,0.951,-0.215,1.648,1.373,-0.580,66.667,24.000,1.000,6.798,0.000
129533.700,125990.400,143982.300,134340.000,127984.800,135923.100,136765.900,130673.500,-0.135,0.956,-0.218,2.136,1.495,-0.732,66.667,25.000,1.000,0.011,0.000
129449.400,125908.200,143884.500,134248.800,127900.400,135832.500,136676.200,130587.800,-0.136,0.960,-0.223,2.655,1.587,-0.885,66.667,26.000,1.000,8.175,0.000
