EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
39434.610,38365.710,43970.980,40842.030,38675.630,41623.750,41191.930,39395.730,-0.125,0.986,-0.304,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
133490.000,129870.600,148820.200,138243.700,130920.300,140898.800,139436.000,133357.100,-0.125,0.988,-0.315,0.000,0.000,0.000,66.667,2.000,1.000,18.076,0.000
202878.300,197378.300,226112.700,210075.700,198972.700,214135.700,211908.300,202673.800,-0.128,0.981,-0.320,0.000,0.000,0.000,66.667,3.000,1.000,2.453,0.000
215349.800,209517.800,239923.200,222947.100,211207.000,227300.000,224925.600,215132.500,-0.134,0.973,-0.323,-3.052,6.927,-5.249,66.667,4.000,1.000,8.607,0.000
212364.900,206622.200,236520.200,219811.500,208285.900,224155.800,221798.800,212155.100,-0.141,0.963,-0.327,8.850,9.827,-2.716,66.667,5.000,1.000,10.174,0.000
201603.300,196159.900,224464.500,208625.600,197737.200,212806.000,210546.000,201409.100,-0.149,0.955,-0.332,12.756,11.047,-1.984,66.667,6.000,1.000,2.496,0.000
177490.900,172710.100,197538.500,183619.700,174092.900,187365.200,185342.700,177322.500,-0.154,0.946,-0.334,14.587,11.536,-1.801,66.667,7.000,1.000,2.490,0.000
163552.300,159155.100,181976.300,169161.800,160425.900,172661.400,170767.500,163399.500,-0.158,0.938,-0.334,15.717,11.688,-1.709,66.667,8.000,1.000,2.528,0.000
169522.900,164962.700,188621.200,175330.800,166284.000,178968.500,176996.500,169368.600,-0.159,0.931,-0.336,16.693,11.566,-1.526,66.667,9.000,1.000,2.476,0.000
180568.400,175708.700,200919.100,186754.800,177117.800,190630.300,188532.200,180407.600,-0.159,0.924,-0.338,17.548,11.536,-1.312,66.667,10.000,1.000,2.460,0.000
178679.700,173875.000,198789.600,184780.200,175265.300,188639.300,186555.200,178521.700,-0.156,0.917,-0.339,18.494,11.536,-1.007,66.667,11.000,1.000,6.260,0.000
159945.200,155650.800,177882.100,165362.800,156891.100,168865.900,166978.000,159804.500,-0.158,0.916,-0.341,19.287,11.658,-0.488,66.667,12.000,1.000,4.290,0.000
148141.900,144168.800,164718.400,153133.900,145316.200,156409.200,154644.000,148014.300,-0.164,0.917,-0.343,19.958,11.536,0.031,66.667,13.000,1.000,0.014,0.000
152828.000,148731.600,169946.300,157985.200,149915.000,161359.900,159540.800,152700.400,-0.168,0.920,-0.343,20.721,11.505,0.488,66.667,14.000,1.000,10.694,0.000
161976.700,157637.800,180143.000,167455.000,158891.300,171022.700,169101.300,161844.700,-0.174,0.924,-0.345,21.423,11.353,0.702,66.667,15.000,1.000,3.041,0.000
161008.300,156700.400,179050.900,166445.700,157945.700,170006.300,168092.500,160880.800,-0.176,0.929,-0.350,22.064,11.047,1.068,66.667,16.000,1.000,0.015,0.000
146785.000,142865.600,163178.600,151708.200,143998.700,154996.800,153235.300,146672.800,-0.172,0.936,-0.356,22.583,10.681,1.465,66.667,17.000,1.000,1.932,0.000
137720.300,134047.000,153065.600,142312.800,135106.300,145429.300,143763.200,137614.600,-0.168,0.938,-0.362,22.980,10.406,1.831,66.667,18.000,1.000,8.753,0.000
141238.000,137467.200,156985.800,145950.300,138550.100,149140.400,147433.200,141124.600,-0.160,0.938,-0.363,23.193,10.193,2.167,66.667,19.000,1.000,3.067,0.000
148198.800,144236.800,164741.700,153157.000,145372.100,156484.600,154702.000,148076.600,-0.152,0.936,-0.369,23.468,10.010,2.350,66.667,20.000,1.000,0.015,0.000
147586.700,143642.700,164050.400,152522.500,144771.100,155836.400,154062.700,147465.400,-0.144,0.933,-0.369,23.651,10.071,2.716,66.667,21.000,1.000,4.418,0.000
137040.500,133385.700,152284.600,141596.000,134429.200,144704.900,143047.600,136929.700,-0.139,0.934,-0.369,24.048,10.101,2.838,66.667,22.000,1.000,8.744,0.000
130184.600,126716.400,144640.800,134487.300,127707.100,137471.100,135888.500,130081.200,-0.136,0.942,-0.373,24.414,10.345,3.021,66.667,23.000,1.000,3.065,0.000
132530.200,128998.600,147258.700,136910.100,130008.000,139948.100,138339.400,132424.600,-0.129,0.948,-0.378,24.567,10.498,2.991,66.667,24.000,1.000,0.013,0.000
137444.500,133779.900,152735.100,141996.900,134824.800,145130.800,143469.100,137330.900,-0.122,0.954,-0.377,24.567,10.559,2.960,66.667,25.000,1.000,1.874,0.000
136980.800,133325.500,152209.800,141512.900,134365.000,144633.300,142978.600,136861.000,-0.114,0.955,-0.375,24.384,10.803,2.930,66.667,26.000,1.000,8.717,0.000
129451.000,125995.200,143806.000,133708.400,126975.400,136677.900,135107.000,129330.500,-0.108,0.955,-0.374,24.078,11.108,2.747,66.667,27.000,1.000,2.516,0.000
124408.000,121085.600,138179.800,128482.500,122025.600,131348.400,129834.100,124286.200,-0.105,0.950,-0.375,23.712,11.597,2.502,66.667,28.000,1.000,17.464,0.000
125713.600,122352.000,139635.000,129835.600,123303.400,132721.100,131194.500,125588.000,-0.105,0.948,-0.377,23.315,11.841,2.441,66.667,29.000,1.000,0.013,0.000
128835.000,125384.100,143112.300,133067.500,126361.700,136011.300,134451.900,128705.800,-0.106,0.946,-0.381,23.041,12.085,2.167,66.667,30.000,1.000,0.006,0.000
