EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, BAT, CNT, VALID, DT, TRIG
31088.940,30148.490,34584.350,31920.770,30208.600,32778.570,31906.380,30681.460,-0.156,0.895,-0.312,0.000,0.000,0.000,66.667,1.000,1.000,0.000,0.000
106186.200,102976.800,118108.300,109014.900,103181.300,111957.400,108978.500,104797.400,-0.149,0.916,-0.331,0.000,0.000,0.000,66.667,2.000,1.000,25.423,0.000
163570.600,158636.000,181893.100,167906.200,158947.400,172459.700,167869.100,161437.500,-0.145,0.923,-0.336,-4.120,2.960,-3.387,66.667,3.000,1.000,2.446,0.000
176439.100,171129.500,196140.300,181089.300,171458.500,186021.000,181061.400,174139.900,-0.140,0.924,-0.341,-5.524,0.061,-0.122,66.667,4.000,1.000,2.455,0.000
176305.600,171007.000,195932.500,180915.500,171332.500,185871.300,180902.700,174001.500,-0.132,0.930,-0.339,-5.524,-1.801,1.862,66.667,5.000,1.000,2.517,0.000
169547.500,164454.100,188370.800,173933.200,164772.000,178745.400,173959.100,167332.000,-0.129,0.932,-0.339,-5.737,-2.075,2.197,66.667,6.000,1.000,2.507,0.000
151845.600,147291.400,168651.400,155735.400,147581.100,160088.800,155801.500,149874.500,-0.129,0.935,-0.336,-5.890,-2.075,2.289,66.667,7.000,1.000,2.481,0.000
141603.000,137362.400,157242.700,145227.900,137633.300,149291.000,145295.500,139773.300,-0.129,0.938,-0.338,-6.256,-1.892,2.228,66.667,8.000,1.000,9.377,0.000
146961.000,142558.300,163191.000,150741.200,142839.600,154934.800,150789.000,145058.200,-0.128,0.935,-0.337,-6.561,-1.862,2.075,66.667,9.000,1.000,0.026,0.000
156595.600,151903.600,173893.000,160615.300,152204.000,165093.400,160673.300,154565.100,-0.124,0.928,-0.336,-6.744,-1.617,1.953,66.667,10.000,1.000,1.943,0.000
156184.400,151505.900,173415.400,160162.000,151808.100,164662.400,160253.100,154161.800,-0.123,0.922,-0.337,-6.866,-1.434,1.770,66.667,11.000,1.000,3.699,0.000
142262.400,137999.400,157911.200,145865.700,138283.000,149981.500,145968.000,140428.000,-0.120,0.920,-0.337,-6.866,-1.190,1.617,66.667,12.000,1.000,14.319,0.000
133322.300,129324.500,147960.000,136695.600,129598.400,140555.100,136796.800,131611.500,-0.118,0.917,-0.340,-6.592,-1.068,1.221,66.667,13.000,1.000,0.021,0.000
137298.400,133179.100,152381.200,140766.800,133461.900,144751.000,140880.200,135535.900,-0.114,0.913,-0.342,-6.409,-0.763,1.007,66.667,14.000,1.000,1.876,0.000
145056.800,140705.500,161006.000,148724.400,140998.300,152932.700,148841.500,143190.800,-0.113,0.909,-0.345,-6.073,-0.519,0.916,66.667,15.000,1.000,2.452,0.000
145002.300,140662.200,160936.300,148669.100,140942.600,152875.100,148782.000,143138.100,-0.112,0.905,-0.348,-5.798,-0.275,0.763,66.667,16.000,1.000,2.552,0.000
134332.500,130318.900,149056.500,137697.700,130568.500,141622.500,137825.300,132604.300,-0.112,0.902,-0.352,-5.402,0.061,0.793,66.667,17.000,1.000,8.738,0.000
127369.700,123556.300,141304.100,130524.100,123793.600,134274.400,130672.500,125724.300,-0.113,0.898,-0.348,-4.791,0.397,0.732,66.667,18.000,1.000,5.599,0.000
130282.400,126369.400,144542.600,133508.700,126618.900,137341.400,133659.600,128596.500,-0.116,0.894,-0.350,-4.364,0.671,0.793,66.667,19.000,1.000,0.013,0.000
136122.400,132026.100,151037.400,139522.900,132293.200,143497.100,139652.400,134361.900,-0.121,0.893,-0.352,-3.784,0.916,0.763,66.667,20.000,1.000,1.929,0.000
136128.400,132029.500,151038.700,139556.000,132299.600,143498.600,139653.800,134368.100,-0.121,0.894,-0.350,-3.235,1.251,0.732,66.667,21.000,1.000,8.705,0.000
128194.000,124338.400,142205.900,131417.000,124589.600,135128.300,131506.400,126535.900,-0.119,0.897,-0.350,-2.625,1.617,0.885,66.667,22.000,1.000,2.512,0.000
122899.000,119212.400,136312.600,125957.500,119442.600,129546.600,126073.600,121305.800,-0.119,0.899,-0.349,-2.167,1.709,0.793,66.667,23.000,1.000,3.072,0.000
124818.400,121080.200,138448.000,127912.200,121307.300,131574.500,128048.600,123198.600,-0.119,0.902,-0.348,-1.801,1.801,0.824,66.667,24.000,1.000,0.009,0.000
128923.200,125055.500,143013.500,132137.300,125297.300,135903.700,132265.700,127253.900,-0.121,0.906,-0.346,-1.434,2.228,0.946,66.667,25.000,1.000,10.760,0.000
128884.700,125017.300,142967.300,132095.100,125261.300,135865.600,132230.700,127218.200,-0.122,0.911,-0.351,-1.190,2.319,1.068,66.667,26.000,1.000,2.906,0.000
123199.400,119511.200,136639.800,126245.400,119738.100,129873.400,126398.700,121604.800,-0.127,0.916,-0.347,-0.793,2.594,1.190,66.667,27.000,1.000,0.089,0.000
119288.200,115714.300,132290.200,122238.400,115939.800,125750.600,122385.800,117744.900,-0.132,0.920,-0.345,-0.824,2.625,1.251,66.667,28.000,1.000,1.641,0.000
120336.500,116721.700,133458.100,123309.500,116959.700,126860.600,123465.300,118783.000,-0.137,0.928,-0.346,-0.824,2.686,1.434,66.667,29.000,1.000,6.472,0.000
122921.600,119228.600,136331.800,125950.000,119469.500,129588.600,126119.600,121334.700,-0.140,0.934,-0.346,-0.702,2.625,1.617,66.667,30.000,1.000,3.802,0.000
122799.000,119116.100,136192.700,125838.000,119347.400,129455.200,125989.200,121209.600,-0.142,0.940,-0.346,-0.793,2.563,1.740,66.667,31.000,1.000,9.339,0.000
118942.600,115385.000,131902.800,121886.300,115600.400,125388.000,122028.900,117398.000,-0.146,0.942,-0.347,-0.916,2.380,1.862,66.667,32.000,1.000,0.052,0.000
116145.600,112672.800,128795.100,119008.600,112886.500,122444.000,119163.100,114637.400,-0.150,0.945,-0.353,-1.129,2.106,2.167,66.667,33.000,1.000,1.815,0.000
